"메인 키","분류명","공간명(한글)","공간명(영어)","개관년도","지역","우편번호","주소","상세주소","전화번호","홈페이지"
"1","전시시설","[의외의 조합]_청년예술공간지원사업 선정공간","combination","2016","중구   ","04603  ","서울시 중구 동호로17길 121 (신당동)","(의외의 조합)","",""
"2","전시시설","[17717]_청년예술공간지원사업 선정공간","17717","2014","성북구  ","02835  ","서울시 성북구 성북로8길 11 (성북동)","지하 (17717)","","http://17717.co.kr/"
"3","전시시설","[space55]_청년예술공간지원사업 선정공간","space55","2017","은평구  ","03452  ","서울시 은평구 증산로19길 9-3 (신사동)","(space55)","","http://www.space55.co.kr/"
"4","공연장","[게토얼라이브]_청년예술공간지원사업 선정공간","ghettoalive","2016","성동구  ","04778  ","서울시 성동구 왕십리로 104 (성수동1가, 영화빌딩)","지하 1층 Ghetto_alive","02-461-1125",""
"5","전시시설","[대안예술공간이포]_청년예술공간지원사업 선정공간","deaan","2008","영등포구 ","07299  ","서울시 영등포구 도림로126길 9 (문래동3가)","(대안예술공간이포)","",""
"6","전시시설","[더레퍼런스]_청년예술공간지원사업 선정공간","the","2018","종로구  ","03042  ","서울시 종로구 자하문로24길 44 (효자동)","(더레퍼런스)","070-4150-3105","https://www.the-ref.kr"
"7","전시시설","[디비판화작업실]_청년예술공간지원사업 선정공간 ","divi","2017","마포구  ","04039  ","서울시 마포구 홍익로5길 59 (서교동)","1층(디비판화작업실)","",""
"8","전시시설","[레벨나인]_청년예술공간지원사업 선정공간","LEVEL","2017","마포구  ","04002  ","서울시 마포구 서교동 459-4","은혜빌딩 1층(레벨나인)","070-7856-0007","https://www.elespace.io"
"9","전시시설","[레인보우큐브]_청년예술공간지원사업 선정공간","rainbow","2015","마포구  ","04085  ","서울시 마포구 토정로2길 6-19 (합정동)","(레인보우큐브)","070-7804-5365","https://www.rainbowcube-space.co.kr, instagram.com/rainbowcube_gallery"
"10","공연장","[벨로주]_청년예술공간지원사업 선정공간","BELLOJU","2015","마포구  ","04038  ","서울시 마포구 잔다리로 46 (서교동, 서교동 스튜디오)","지하1층 (벨로주)","02-323-7798","https://veloso.co.kr"
"11","공연장","[보폴(VOFOL)]_청년예술공간지원사업 선정공간","vofol","2017","광진구  ","05007  ","서울시 광진구 동일로 170 (화양동)","2층 201호, 지하01호(보폴VOFOL)","070-4193-8477","https://www.vofol.com/"
"12","전시시설","[산수문화]_청년예술공간지원사업 선정공간","SANSO","2016","관악구  ","08763  ","서울시 관악구 조원로 154 (신림동, 대성빌딩)","1층 (산수문화)","","http://www.sansumunhwa.com"
"13","전시시설","[상업화랑]_청년예술공간지원사업 선정공간","snagup","2017","중구   ","04544  ","서울시 중구 을지로 143 (을지로3가)","401호 (상업화랑)","",""
