,Q19A1,Q21AA8,Q21CA2,Q21CB4,Q21CC1,Q21CC3
0,2,1,4,2,2,2
1,3,3,4,2,2,2
2,3,3,4,2,2,2
3,3,3,4,3,2,2
4,1,3,1,1,1,1
5,3,2,1,2,2,1
6,4,2,5,3,4,4
7,3,3,4,2,3,2
8,3,4,3,3,4,3
9,3,3,4,2,2,2
10,3,3,5,5,5,5
11,2,3,4,4,3,3
12,3,3,4,4,3,3
13,3,3,3,4,2,1
14,3,3,4,4,2,2
15,2,3,4,3,3,3
16,2,3,2,4,4,5
17,3,3,4,2,2,2
18,2,2,2,1,2,2
19,2,2,3,3,2,2
20,2,3,4,2,2,2
21,3,4,3,4,2,2
22,2,3,2,3,3,2
23,3,3,4,2,2,2
24,3,3,2,1,2,1
25,3,3,3,2,4,4
26,3,3,4,4,2,2
27,2,3,4,2,3,2
28,2,3,2,4,3,2
29,2,1,2,2,3,3
30,2,1,3,2,2,2
31,3,2,4,3,4,4
32,3,3,4,2,2,2
33,3,1,4,4,4,4
34,2,1,2,2,2,2
35,1,3,1,1,1,1
36,2,1,3,1,2,2
37,3,4,4,3,4,4
38,2,3,4,3,3,3
39,2,3,2,2,3,2
40,3,3,4,1,4,2
41,2,2,4,3,3,3
42,3,1,4,2,2,1
43,2,2,3,2,3,2
44,2,3,2,2,2,2
45,2,3,4,2,2,2
46,3,3,4,2,3,2
47,3,3,4,1,1,1
48,2,3,4,1,4,2
49,2,3,4,2,2,2
50,2,3,1,1,1,1
51,2,3,4,2,2,2
52,2,3,2,1,1,1
53,2,3,2,1,2,3
54,4,3,3,1,1,1
55,2,3,4,1,2,1
56,2,2,3,3,3,3
57,3,3,4,3,3,4
58,3,3,3,3,3,3
59,2,2,3,3,2,2
60,3,3,2,3,3,4
61,3,4,4,4,4,4
62,2,3,4,2,3,2
63,4,3,5,4,5,4
64,3,3,3,3,3,4
65,3,3,4,2,2,2
66,3,2,4,2,3,3
67,2,3,2,4,3,3
68,2,3,4,2,3,2
69,3,3,2,2,2,1
70,3,2,3,3,2,3
71,1,3,3,2,2,3
72,2,3,3,1,2,2
73,3,3,4,3,3,4
74,2,3,3,3,3,3
75,3,3,3,3,2,2
76,2,3,5,3,4,3
77,2,3,4,1,2,1
78,2,3,3,3,3,3
79,3,3,3,2,3,2
80,3,3,3,3,3,3
81,3,3,4,3,3,3
82,3,3,3,2,2,2
83,3,3,1,1,1,1
84,2,2,3,2,2,1
85,3,3,5,2,1,1
86,1,3,3,2,3,3
87,2,3,3,3,3,4
88,2,3,2,3,2,3
89,2,3,4,3,2,1
90,3,3,4,3,3,3
91,3,3,3,3,3,3
92,3,3,3,1,2,1
93,3,3,1,2,1,2
94,2,3,3,2,3,2
95,2,3,3,1,1,1
96,2,5,4,1,3,2
97,2,3,3,2,2,2
98,2,3,4,1,3,2
99,2,3,3,3,4,2
100,2,4,4,3,3,2
101,3,3,2,1,3,3
102,2,2,2,3,3,2
103,3,3,3,2,1,2
104,2,3,5,4,3,2
105,2,3,3,3,2,3
106,2,3,3,2,2,3
107,3,3,3,2,4,3
108,2,3,2,2,2,2
109,2,3,3,2,2,3
110,2,3,2,2,2,2
111,2,3,3,1,3,2
112,3,4,3,3,3,3
113,2,3,2,2,3,3
114,2,3,3,3,3,3
115,3,3,4,3,4,3
116,2,3,5,3,3,2
117,2,2,4,3,2,2
118,3,2,2,3,3,2
119,2,3,4,2,1,1
120,3,3,5,4,4,4
121,2,3,1,1,1,1
122,3,4,3,2,3,2
123,3,3,3,3,3,4
124,2,3,5,2,3,2
125,2,3,3,3,4,2
