,Q19A1,Q21AA8,Q21CA2,Q21CB4,Q21CC1,Q21CC3
0,3,4,5,3,4,4
1,4,3,5,3,3,1
2,3,3,3,4,3,2
3,3,4,2,4,2,3
4,3,2,3,3,4,4
5,3,4,2,2,2,1
6,2,2,2,2,3,2
7,3,3,4,2,1,1
8,3,2,1,1,2,2
9,3,4,4,3,3,3
10,2,4,4,2,1,1
11,2,3,5,2,2,2
12,3,3,3,4,4,4
13,3,2,4,4,4,4
14,2,3,3,2,3,3
15,3,3,4,3,4,4
16,3,5,2,2,3,2
17,3,3,4,4,3,4
18,3,3,3,4,3,3
19,2,4,2,2,2,2
20,3,3,3,4,3,4
21,3,3,4,4,4,4
22,3,2,4,2,3,3
23,3,4,3,4,4,4
24,3,3,4,4,3,3
25,2,3,4,3,3,3
26,2,3,5,3,2,2
27,3,3,4,2,3,2
28,3,4,4,2,2,1
29,3,4,4,2,2,2
30,3,2,2,1,2,2
31,3,3,4,4,3,3
32,3,3,4,3,3,3
33,2,1,5,4,5,4
34,2,2,3,1,2,2
35,3,3,5,4,3,3
36,3,2,4,4,4,4
37,3,3,4,4,3,3
38,3,3,4,2,3,3
39,3,4,4,4,4,3
40,2,3,4,4,3,4
41,2,3,4,4,3,4
42,3,4,2,3,5,4
43,3,4,4,3,4,4
44,4,3,2,2,3,2
45,3,5,4,2,4,3
46,2,3,3,2,2,3
47,3,2,3,3,2,3
48,3,5,3,3,5,3
49,3,4,4,4,4,4
50,3,3,2,2,2,2
51,3,3,3,3,3,3
52,3,4,4,4,3,3
53,3,3,3,4,4,4
54,3,3,4,2,3,3
55,1,5,4,4,3,3
56,3,4,3,4,4,4
57,2,4,4,4,3,2
58,2,3,2,2,1,1
59,2,4,3,3,3,4
60,3,4,3,3,3,3
61,2,3,3,2,2,3
62,3,2,3,4,4,3
63,3,4,3,3,4,4
64,3,2,3,3,3,3
65,3,3,4,3,4,3
66,3,3,4,4,4,4
67,3,3,4,4,4,4
68,3,3,2,1,3,2
69,2,4,4,3,3,3
70,2,4,3,3,3,2
71,2,3,3,4,3,3
72,3,3,4,4,4,3
73,3,3,4,3,3,3
74,2,3,3,3,3,3
75,2,4,5,3,4,2
76,3,5,4,1,3,1
77,3,3,4,4,4,4
78,2,3,4,1,1,1
79,3,3,2,4,2,2
80,3,3,3,3,3,2
81,3,3,3,4,3,4
82,3,4,3,3,4,4
83,3,2,2,1,3,3
84,2,4,4,4,4,3
85,2,4,4,3,4,2
86,3,4,4,3,3,3
87,3,3,2,2,4,5
88,3,3,2,3,3,3
89,3,2,4,5,4,5
90,2,4,2,2,3,3
91,2,3,3,3,3,2
92,3,3,2,3,4,4
93,3,3,5,1,1,1
94,3,3,2,5,4,4
95,3,3,4,2,3,2
96,3,3,3,3,3,3
97,3,3,3,3,3,3
98,3,3,3,4,3,4
99,3,3,3,3,3,3
100,3,5,4,3,3,3
101,2,3,2,5,4,4
102,3,3,4,3,3,3
103,3,3,4,3,3,4
