,Q19A1,Q21AA8,Q21CA2,Q21CB4,Q21CC1,Q21CC3
0,3.0,3.0,3,3,3,2
1,3.0,4.0,2,4,3,3
2,3.0,3.0,4,3,3,3
3,3.0,3.0,3,4,3,4
4,2.0,4.0,5,3,2,3
5,3.0,3.0,4,3,3,3
6,2.0,3.0,3,3,3,3
7,3.0,3.0,4,2,4,4
8,2.0,3.0,4,1,3,3
9,3.0,4.0,4,3,4,4
10,3.0,2.0,3,4,3,3
11,3.0,4.0,4,2,3,2
12,4.0,3.0,3,3,3,2
13,2.0,4.0,2,1,4,2
14,2.0,4.0,3,3,3,3
15,2.0,3.0,4,3,2,2
16,2.0,5.0,3,1,4,3
17,3.0,4.0,2,3,3,3
18,2.0,3.0,4,3,5,4
19,3.0,5.0,3,3,4,3
20,2.0,4.0,5,1,1,1
21,2.0,3.0,4,2,2,2
22,3.0,3.0,4,4,4,2
23,2.0,3.0,2,3,3,3
24,3.0,4.0,3,4,4,3
25,2.0,4.0,3,3,4,4
26,3.0,3.0,5,4,3,3
27,3.0,3.0,3,1,3,2
28,2.0,4.0,3,3,4,4
29,2.0,3.0,4,1,1,1
30,2.0,3.0,4,5,3,4
31,2.0,3.0,4,3,3,4
32,3.0,4.0,3,3,3,4
33,3.0,4.0,2,4,4,3
34,3.0,3.0,2,2,2,1
35,3.0,3.0,4,3,4,4
36,2.0,3.0,2,2,2,2
37,2.0,3.0,3,1,1,1
38,3.0,4.0,3,3,4,3
39,1.0,3.0,3,3,2,3
40,1.0,3.0,1,1,1,1
41,3.0,4.0,3,4,4,4
42,2.0,3.0,3,3,4,3
43,2.0,3.0,2,1,2,2
44,2.0,3.0,5,1,3,1
45,2.0,3.0,4,3,4,4
46,3.0,3.0,4,2,3,3
47,3.0,3.0,4,3,3,3
48,3.0,3.0,4,2,4,5
49,3.0,4.0,3,1,1,1
50,2.0,4.0,5,1,4,3
51,3.0,3.0,3,3,2,3
52,2.0,4.0,1,1,1,1
53,3.0,4.0,3,3,3,4
54,2.0,3.0,4,1,3,3
55,3.0,3.0,4,1,1,1
56,3.0,3.0,4,2,3,3
57,3.0,3.0,3,4,4,3
58,2.0,3.0,2,1,2,2
59,3.0,3.0,3,1,3,3
60,2.0,3.0,5,1,2,3
61,2.0,5.0,4,2,2,2
62,4.0,4.0,4,2,3,4
63,2.0,3.0,3,3,3,2
64,3.0,3.0,4,3,3,3
65,2.0,3.0,4,2,1,1
66,3.0,3.0,1,1,1,1
67,3.0,3.0,3,3,4,4
68,2.0,3.0,4,4,3,3
69,2.0,3.0,2,1,3,2
70,2.0,4.0,4,4,3,2
71,3.0,4.0,2,2,3,3
72,2.0,3.0,4,3,3,4
73,2.0,1.0,3,3,3,3
74,2.0,4.0,3,4,3,3
75,2.0,3.0,3,2,3,3
76,2.0,4.0,3,1,2,2
77,2.0,4.0,4,4,3,3
78,2.0,2.0,3,4,4,2
79,3.0,3.0,4,4,4,4
80,2.0,3.0,2,2,2,3
81,2.0,3.0,2,1,2,2
82,3.0,2.0,2,3,3,3
83,3.0,3.0,3,3,3,4
84,2.0,3.0,2,2,2,2
85,3.0,3.0,3,3,3,4
86,2.0,3.0,3,2,3,3
87,2.0,4.0,4,1,1,2
88,2.0,3.0,4,3,3,2
89,2.0,4.0,4,1,4,1
90,3.0,4.0,3,4,4,4
91,2.0,2.0,4,2,3,3
92,3.0,4.0,3,4,4,4
93,1.0,3.0,3,2,2,3
94,2.0,3.0,3,4,3,4
95,3.0,2.0,4,3,4,3
96,2.0,4.0,3,2,3,3
97,2.0,3.0,4,2,3,2
98,2.0,4.0,3,2,2,2
99,3.0,3.0,3,3,3,4
100,1.0,4.0,3,3,3,4
101,2.0,4.0,4,3,4,3
102,3.0,3.0,3,3,3,2
103,2.0,3.0,4,4,4,5
104,4.0,3.0,5,3,4,3
105,2.0,4.0,4,3,4,4
106,3.0,4.0,5,4,3,4
107,3.0,3.0,3,2,2,2
108,3.0,3.0,4,4,4,3
109,2.0,5.0,3,2,2,1
110,3.0,3.0,3,3,4,3
111,4.0,3.0,3,3,3,2
