,Q19A1,Q21AA8,Q21CA2,Q21CB4,Q21CC1,Q21CC3
0,3,2,5,3,3,3
1,3,2,4,4,3,2
2,3,3,4,3,4,4
3,2,3,2,3,3,3
4,2,3,4,3,3,4
5,2,2,3,3,3,2
6,2,2,3,2,2,2
7,2,3,4,3,4,4
8,2,3,4,4,4,4
9,3,3,2,3,3,2
10,2,3,4,1,1,1
11,3,2,3,3,2,2
12,2,3,2,3,3,2
13,1,3,2,2,2,2
14,2,2,2,2,3,2
15,2,3,3,4,2,1
16,2,3,4,3,4,4
17,3,3,5,3,3,4
18,2,4,4,3,3,3
19,3,3,2,2,3,3
20,1,3,3,2,2,3
21,3,3,4,1,2,2
22,3,2,2,3,3,3
23,2,3,3,3,3,4
24,2,2,2,2,3,2
25,2,3,2,2,2,1
26,3,2,4,2,2,2
27,2,2,2,2,2,2
28,3,3,1,2,2,3
29,3,3,3,3,3,4
30,3,3,4,3,3,2
31,3,3,4,3,3,4
32,2,3,3,3,3,3
33,3,2,3,2,3,3
34,2,3,3,2,2,3
35,2,2,3,2,3,2
36,2,3,2,3,3,4
37,3,3,4,2,3,2
38,3,2,4,2,3,2
39,2,4,3,2,4,5
40,2,3,4,2,3,3
41,2,2,2,2,3,2
42,3,3,4,2,3,2
43,2,3,3,2,4,4
44,3,2,3,2,3,2
45,3,2,3,3,3,2
46,2,3,4,3,3,4
47,2,3,2,3,4,3
48,3,4,3,3,3,4
49,3,4,3,3,4,4
50,3,3,4,2,4,3
51,2,3,2,2,2,2
52,2,3,3,1,4,1
53,3,3,5,1,4,4
54,3,3,3,3,2,1
55,2,2,3,3,4,3
56,1,2,3,3,3,3
57,2,3,4,1,3,2
58,2,3,3,1,2,2
59,1,3,1,1,1,1
60,2,3,4,2,2,3
61,2,3,5,3,3,4
62,2,3,3,2,3,2
63,2,1,2,2,3,2
64,3,3,2,3,2,2
65,2,4,4,4,3,4
66,1,2,4,3,4,3
67,3,3,3,4,3,4
68,2,3,4,3,2,2
69,2,3,2,3,3,3
70,3,3,2,3,4,3
71,3,2,4,3,3,3
72,2,2,3,2,3,2
73,2,2,2,2,3,2
74,2,3,2,2,2,2
75,3,3,2,2,1,1
76,3,3,3,3,3,3
77,2,3,4,3,2,2
78,2,3,1,1,4,1
79,2,3,1,1,1,1
80,2,3,4,3,3,3
81,2,4,4,4,4,5
82,1,3,2,2,2,2
83,1,4,4,1,1,2
84,2,4,5,2,3,1
85,2,3,3,1,2,2
86,3,3,4,1,3,3
87,2,3,4,1,1,1
88,3,3,4,3,2,1
89,2,3,4,1,4,1
90,3,3,3,1,4,5
91,1,3,3,3,2,2
92,3,2,3,2,3,2
93,2,3,3,4,4,4
94,2,2,4,1,2,3
95,1,3,4,4,3,4
96,3,3,2,3,3,2
97,2,3,3,3,3,3
98,3,2,3,1,3,3
99,3,2,3,2,3,3
100,2,4,4,2,3,2
101,3,3,3,3,3,4
102,4,4,4,5,3,5
103,2,3,2,1,2,2
104,2,3,2,1,1,1
105,2,2,4,3,3,4
106,3,3,3,2,4,4
107,2,3,2,3,3,2
108,2,3,3,3,3,3
109,3,3,3,3,4,3
110,3,3,2,3,3,3
111,3,3,3,3,3,3
112,3,3,2,3,2,1
113,2,3,2,1,3,2
114,3,3,4,1,1,1
115,3,2,3,2,3,2
116,3,3,4,2,4,4
117,2,4,4,4,4,4
118,3,3,2,2,2,2
119,3,3,5,4,4,2
120,3,3,4,3,3,4
121,2,3,1,1,1,1
122,2,3,3,3,1,1
123,3,3,4,3,4,4
124,2,3,3,4,2,3
125,3,3,5,2,3,2
126,2,4,2,1,3,3
127,2,3,4,3,3,3
128,2,3,3,2,3,3
129,3,3,4,3,4,3
130,3,4,4,4,4,3
131,2,3,2,1,1,1
132,2,3,2,2,1,1
133,3,3,1,1,1,1
134,2,3,3,3,3,2
135,2,3,3,3,3,2
136,2,3,3,3,4,3
137,3,3,2,2,1,1
138,3,3,1,2,1,1
139,4,1,2,1,3,3
140,2,3,2,3,3,3
141,3,4,5,4,4,4
142,2,3,3,2,2,2
143,3,3,4,2,3,3
144,3,1,3,2,1,1
145,4,3,4,2,4,5
146,2,3,3,3,3,4
147,2,3,3,1,2,2
148,2,3,1,2,1,1
149,3,3,3,3,4,4
150,2,4,3,1,4,3
151,1,4,4,1,1,2
152,2,4,4,4,4,3
153,2,4,3,1,2,1
154,2,4,3,1,2,2
155,2,3,5,1,1,1
156,1,3,3,1,1,1
157,3,3,3,2,1,1
158,2,3,4,1,4,4
159,2,3,3,2,2,2
