,시설명,공연장수,총객석수,공연장명,객석수,시설특성,개관연도,지역,Unnamed: 8,주소
4,1M SPACE,1.0,55.0,1M SPACE,55,민간(대학로 외),2019.0,서울,서대문구,서울특별시 서대문구 연세로4길 27 (창천동)
5,1m클래식아트홀,1.0,130.0,1m클래식아트홀,130,민간(대학로),2008.0,서울,종로구,서울 종로구 종로1길 50 (중학동)더케이트윈타워
8,2001 아울렛키즈홀 [구로],1.0,100.0,2001 아울렛키즈홀 [구로],100,민간(대학로 외),2008.0,서울,구로구,서울특별시 구로구 중앙로1길 36 (고척동)
10,20세기소년,1.0,0.0,20세기소년,0,민간(대학로 외),0.0,서울,중구,서울특별시 중구 동호로24길 27-5(장충동2가)
11,242,1.0,0.0,242,0,기타(비공연장),0.0,서울,용산구,서울특별시 용산구 이태원로 242 (한남동) 2층
14,369마실,1.0,0.0,369마실,0,기타(비공연장),0.0,서울,성북구,서울특별시 성북구 삼선교로4가길 13-1 (삼선동1가)
15,4560designhaus (디자인하우스),1.0,0.0,4560designhaus(디자인하우스),0,기타(비공연장),0.0,서울,서초구,서울특별시 서초구 매헌로 16 (양재동)
17,57th gallery(57갤러리),1.0,0.0,57th gallery(57갤러리),0,기타(비공연장),0.0,서울,종로구,서울특별시 종로구 율곡로3길 17 (송현동)
18,63아트홀,1.0,467.0,63아트홀,467,민간(대학로 외),2009.0,서울,영등포구,서울특별시 영등포구 63로 50 (여의도동)
19,640아트타워,1.0,92.0,640아트홀,92,민간(대학로 외),2016.0,서울,강남구,서울특별시 강남구 언주로172길 25 (신사동)
33,CJ아지트 광흥창,1.0,250.0,CJ아지트 광흥창,250,민간(대학로 외),2009.0,서울,마포구,서울특별시 마포구 창전로 14 (신정동) CJ아지트
34,CJ아지트 대학로 (구. SM아트홀),1.0,190.0,CJ아지트 대학로 (구. SM아트홀),190,민간(대학로),2016.0,서울,종로구,서울특별시 종로구 대학로12길 69 (동숭동)
36,CLUB bender(클럽 벤더),1.0,0.0,CLUB bender(클럽 벤더),0,민간(대학로 외),0.0,서울,마포구,서울특별시 마포구 와우산로14길 4 (상수동) 지하1층
38,CTS아트홀,1.0,404.0,CTS아트홀,404,민간(대학로 외),2005.0,서울,동작구,서울특별시 동작구 노량진로 100 (노량진동)
40,D:BASE (디:베이스),1.0,212.0,D:BASE (디:베이스),212,민간(대학로),2015.0,서울,종로구,서울특별시 종로구 대학로10길 26 (동숭동)
43,DS ART HALL(창선당),1.0,137.0,DS ART HALL(창선당),137,민간(대학로 외),2014.0,서울,종로구,서울특별시 종로구 청계천로 279 (종로6가)
44,Ean Hall For Jazz (이안홀),1.0,0.0,Ean Hall For Jazz (이안홀),0,민간(대학로 외),0.0,서울,강남구,서울특별시 강남구 테헤란로77길 11-19(삼성동)
47,GBB스페이스홀(구. 임혁필소극장),1.0,100.0,GBB스페이스홀(구. 임혁필소극장),100,민간(대학로 외),2012.0,서울,마포구,서울특별시 마포구 포은로 14 (합정동)
49,G스페이스홀(지스페이스홀),1.0,55.0,G스페이스홀(지스페이스홀),55,민간(대학로 외),2020.0,서울,마포구,서울특별시 마포구 포은로 14 (합정동)
50,H-스테이지,1.0,0.0,H-스테이지,0,민간(대학로 외),0.0,서울,마포구,서울특별시 마포구 와우산로 97(서교동)
55,IMCL MUSIC STUDIO,1.0,0.0,IMCL MUSIC STUDIO,0,민간(대학로 외),2022.0,서울,강서구,서울특별시 강서구 공항대로42길 23-3(내발산동)
56,IPAC홀(인터내셔널퍼포밍아트센터),1.0,0.0,IPAC홀(인터내셔널퍼포밍아트센터),0,민간(대학로 외),0.0,서울,서초구,서울특별시 서초구 효령로52길 16 (서초동)
60,JCC 아트센터,4.0,175.0,"콘서트홀
4전시장
오디토리움
크리에이티브 스튜디오","175
0
0
0",민간(대학로),2015.0,서울,종로구,서울특별시 종로구 창경궁로35길 29 (혜화동) JCC 아트센터
61,JCC크리에이티브센터,1.0,0.0,스튜디오,0,민간(대학로 외),0.0,서울,종로구,서울특별시 종로구 창경궁로35길 45(혜화동)
62,JDB스퀘어,1.0,120.0,JDB스퀘어,120,민간(대학로 외),2018.0,서울,마포구,서울특별시 마포구 잔다리로 31 (서교동)
63,JH아트홀,1.0,155.0,JH아트홀,155,민간(대학로),2012.0,서울,종로구,서울특별시 종로구 대학로8가길 64 (동숭동)
64,JS아트홀 (구. 고스트씨어터 구.다소니씨어터),1.0,194.0,JS아트홀 (구. 고스트씨어터 구.다소니씨어터),194,민간(대학로),2018.0,서울,종로구,서울특별시 종로구 동숭길 94 (동숭동)
65,JTN 아트홀(구. 대학로예술마당),4.0,856.0,"2관
1관
4관
3관","210
230
208
208",민간(대학로),2016.0,서울,종로구,서울특별시 종로구 이화장길 26 (이화동) 
66,JnJ아트컨벤션,1.0,0.0,JnJ아트컨벤션,0,민간(대학로 외),0.0,서울,영등포구,서울특별시 영등포구 문래로 164 (문래동3가)
69,KBEC발레시어터,1.0,75.0,소극장,75,민간(대학로 외),2017.0,서울,송파구,서울특별시 송파구 양재대로71길 8 (방이동) KBEC발레시어터
73,KBS스포츠월드(아레나),1.0,2222.0,KBS아레나,2222,공공(기타),2015.0,서울,강서구,서울특별시 강서구 공항대로 376 (화곡동) kbs스포츠월드
74,KBS홀,1.0,1661.0,KBS홀,1661,공공(기타),1991.0,서울,영등포구,서울특별시 영등포구 여의공원로 13 (여의도동)
79,KB아트홀 [강남] (구. LIG아트홀 강남),1.0,147.0,KB아트홀 [강남] (구. LIG아트홀 강남),147,민간(대학로 외),2006.0,서울,강남구,서울특별시 강남구 테헤란로 117 (역삼동) KB손해보험빌딩
83,KOCCA콘텐츠문화광장,1.0,193.0,스테이지66,193,공공(기타),2017.0,서울,동대문구,서울특별시 동대문구 회기로 66 (청량리동)
84,KOMCA홀,1.0,0.0,KOMCA홀,0,민간(대학로 외),0.0,서울,강서구,서울특별시 강서구 공항대로 332(내발산동)
85,KOTE(코트),1.0,0.0,KOTE Live,0,민간(대학로 외),0.0,서울,종로구,서울특별시 종로구 인사동길 7 (인사동)
88,KT&G 상상마당 대치아트홀,1.0,422.0,KT&G 상상마당 대치아트홀,422,민간(대학로 외),2006.0,서울,강남구,서울특별시 강남구 영동대로 416 (대치동)
89,KT&G 상상마당 라이브홀 [마포],1.0,185.0,KT&G 상상마당 라이브홀 [마포],185,민간(대학로 외),2007.0,서울,마포구,서울특별시 마포구 어울마당로 65 (서교동)
91,KT체임버홀,1.0,403.0,KT체임버홀,403,민간(대학로 외),2009.0,서울,양천구,서울특별시 양천구 목동서로 201 (목동)
92,Kuonechan Object Vinyl Sign Event,1.0,100.0,Kuonechan Object Vinyl Sign Event,100,민간(대학로 외),0.0,서울,마포구,서울특별시 마포구 와우산로33길 27 (서교동)
93,L&S아트홀(빛과소리아트홀),1.0,280.0,L&S아트홀(빛과소리아트홀),280,민간(대학로 외),2007.0,서울,서초구,서울특별시 서초구 서초중앙로24길 55 (서초동) 서초프라자 지하3층
94,LG아트센터 서울,2.0,1700.0,"LG SIGNATURE 홀
U+ 스테이지","1,335
365",민간(대학로 외),2022.0,서울,강서구,서울특별시 강서구 마곡중앙로 136(마곡동)
95,LIG아트홀 [합정],1.0,190.0,LIG아트홀 [합정],190,민간(대학로 외),2013.0,서울,마포구,서울특별시 마포구 양화로 19 (합정동)
96,LP Sound Studio,1.0,0.0,LP Sound Studio,0,민간(대학로 외),0.0,서울,서초구,서울특별시 서초구 바우뫼로41길 16(양재동)
97,M Stage(엠스테이지),2.0,260.0,"1관
2관","180
80",민간(대학로 외),0.0,서울,종로구,서울특별시 종로구 인사동길 34-1 (관훈동)
98,M50클럽,1.0,0.0,M50클럽,0,민간(대학로),0.0,서울,마포구,서울특별시 마포구 월드컵북로6길 60 (동교동)
102,MHN STAGE,1.0,80.0,MHN STAGE,80,민간(대학로 외),0.0,서울,마포구,서울특별시 마포구 와우산로 117 (서교동)
103,MILDEYES,1.0,0.0,MILDEYES,0,기타(비공연장),2019.0,서울,용산구,서울특별시 용산구 녹사평대로 210-7(이태원동)
104,MODE 127,1.0,0.0,MODE 127,0,민간(대학로 외),0.0,서울,용산구,서울특별시 용산구 이태원로 190(이태원동)
105,Mfor 아트스페이스,1.0,72.0,소극장,72,민간(대학로 외),0.0,서울,강남구,서울특별시 강남구 학동로30길 43-7 (논현동)
106,Moor Seoul,1.0,0.0,Moor Seoul,0,민간(대학로 외),0.0,서울,용산구,서울특별시 용산구 한남대로20길 28 (한남동) 
