,공연시설명,세부공연시설명,좌석수,공연건수,개막편수,상연횟수,총 티켓판매수,시설특성,주소
0,올림픽공원,KSPO DOME(체조경기장),15000,34,34,79,586963,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
1,올림픽공원,올림픽홀,2432,30,30,110,173794,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
2,올림픽공원,SK핸드볼경기장(펜싱경기장),5003,23,23,50,161942,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
3,올림픽공원,우리금융아트홀(역도경기장),1184,10,9,321,118105,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
4,올림픽공원,야외(88잔디마당),10000,8,8,18,79307,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
5,올림픽공원,일대,0,3,3,10,70516,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
6,올림픽공원,뮤즈라이브,237,5,5,227,30026,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
7,올림픽공원,K-아트홀,500,0,0,0,0,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
8,올림픽공원,벨로드롬(경륜경기장),6000,0,0,0,0,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
9,올림픽공원,야외(수변무대),1000,0,0,0,0,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
10,올림픽공원,평화광장,0,0,0,0,0,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
11,올림픽공원,합계,41356,113,112,815,1220653,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
12,예술의전당,콘서트홀,2527,243,243,262,427908,국립,서울특별시 서초구 남부순환로 2406 (서초동)
13,예술의전당,오페라극장,2283,20,19,219,332811,국립,서울특별시 서초구 남부순환로 2406 (서초동)
14,예술의전당,CJ 토월극장,1004,15,15,254,137462,국립,서울특별시 서초구 남부순환로 2406 (서초동)
15,예술의전당,IBK챔버홀,600,300,300,300,133908,국립,서울특별시 서초구 남부순환로 2406 (서초동)
16,예술의전당,리사이틀홀,354,338,338,340,95548,국립,서울특별시 서초구 남부순환로 2406 (서초동)
17,예술의전당,자유소극장,241,20,19,273,47815,국립,서울특별시 서초구 남부순환로 2406 (서초동)
18,예술의전당,인춘아트홀,130,223,223,223,19440,국립,서울특별시 서초구 남부순환로 2406 (서초동)
19,예술의전당,1101어린이라운지,0,4,4,14,120,국립,서울특별시 서초구 남부순환로 2406 (서초동)
20,예술의전당,N스튜디오(국립예술단체공연연습장) 공용1,20,0,0,0,0,국립,서울특별시 서초구 남부순환로 2406 (서초동)
21,예술의전당,서예박물관 ,0,0,0,0,0,국립,서울특별시 서초구 남부순환로 2406 (서초동)
22,예술의전당,신세계스퀘어 야외무대,1000,0,0,0,0,국립,서울특별시 서초구 남부순환로 2406 (서초동)
23,예술의전당,합계,8159,1163,1161,1885,1195012,국립,서울특별시 서초구 남부순환로 2406 (서초동)
24,잠실종합운동장,주경기장,65599,8,8,15,444586,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동)
25,잠실종합운동장,빅탑,2400,1,1,95,167943,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동)
26,잠실종합운동장,실내체육관,11032,13,13,32,141314,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동)
27,잠실종합운동장,FB빅탑시어터,500,1,1,141,48504,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동)
28,잠실종합운동장,보조경기장,1782,1,1,3,5403,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동)
29,잠실종합운동장,로열씨어터,500,0,0,0,0,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동)
30,잠실종합운동장,서문주차장,0,0,0,0,0,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동)
31,잠실종합운동장,특설링,0,0,0,0,0,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동)
32,잠실종합운동장,합계,81813,24,24,286,807750,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동)
33,세종문화회관,세종대극장,3022,54,53,302,456965,공공(문예회관),서울특별시 종로구 세종대로 175 (세종로)
34,세종문화회관,세종M씨어터,609,26,25,353,102453,공공(문예회관),서울특별시 종로구 세종대로 175 (세종로)
35,세종문화회관,세종체임버홀,443,283,283,307,101202,공공(문예회관),서울특별시 종로구 세종대로 175 (세종로)
36,세종문화회관,세종S씨어터,300,45,45,341,53917,공공(문예회관),서울특별시 종로구 세종대로 175 (세종로)
37,세종문화회관,세종예술아카데미(스퀘어홀),94,1,1,8,61,공공(문예회관),서울특별시 종로구 세종대로 175 (세종로)
38,세종문화회관,뜨락(야외공간)(폐관),0,0,0,0,0,공공(문예회관),서울특별시 종로구 세종대로 175 (세종로)
39,세종문화회관,세종예술아카데미(서클홀),50,0,0,0,0,공공(문예회관),서울특별시 종로구 세종대로 175 (세종로)
40,세종문화회관,세종예술아카데미(오픈스테이지),100,0,0,0,0,공공(문예회관),서울특별시 종로구 세종대로 175 (세종로)
41,세종문화회관,합계,4618,409,407,1311,714598,공공(문예회관),서울특별시 종로구 세종대로 175 (세종로)
42,블루스퀘어,신한카드홀(구. 인터파크홀),1766,5,4,374,458621,민간(대학로 외),서울특별시 용산구 이태원로 294 (한남동)
43,블루스퀘어,Mastercard Hall(구.아이마켓홀),1373,49,49,96,110338,민간(대학로 외),서울특별시 용산구 이태원로 294 (한남동)
44,블루스퀘어,카오스홀,266,1,1,87,3603,민간(대학로 외),서울특별시 용산구 이태원로 294 (한남동)
45,블루스퀘어,NEMO,0,1,0,3,119,민간(대학로 외),서울특별시 용산구 이태원로 294 (한남동)
46,블루스퀘어,합계,3405,56,54,560,572681,민간(대학로 외),서울특별시 용산구 이태원로 294 (한남동)
47,충무아트센터,대공연장,1255,6,5,349,295803,공공(문예회관),서울특별시 중구 퇴계로 387 (흥인동)
48,충무아트센터,중극장 블랙,325,6,5,353,57118,공공(문예회관),서울특별시 중구 퇴계로 387 (흥인동)
49,충무아트센터,컨벤션센터,200,11,11,25,2479,공공(문예회관),서울특별시 중구 퇴계로 387 (흥인동)
50,충무아트센터,소극장 블루,218,1,1,2,415,공공(문예회관),서울특별시 중구 퇴계로 387 (흥인동)
51,충무아트센터,합계,1998,24,22,729,355815,공공(문예회관),서울특별시 중구 퇴계로 387 (흥인동)
52,샤롯데씨어터,합계,1230,5,4,347,321828,민간(대학로 외),서울특별시 송파구 올림픽로 240 (잠실동)
53,봄날아트홀(구. 아리랑소극장),2관(지하2층),129,4,2,660,295808,민간(대학로),서울특별시 종로구 동숭길 39 (동숭동)
54,봄날아트홀(구. 아리랑소극장),1관(지하1층),123,2,1,393,17464,민간(대학로),서울특별시 종로구 동숭길 39 (동숭동)
55,봄날아트홀(구. 아리랑소극장),합계,252,6,3,1053,313272,민간(대학로),서울특별시 종로구 동숭길 39 (동숭동)
61,대학로 드림아트센터,1관,352,5,4,441,108478,민간(대학로),서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터
62,대학로 드림아트센터,2관 더블케이씨어터,210,7,6,404,58086,민간(대학로),서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터
63,대학로 드림아트센터,3관 나몰라홀,210,7,6,367,47480,민간(대학로),서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터
64,대학로 드림아트센터,4관,208,6,5,337,34703,민간(대학로),서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터
65,대학로 드림아트센터,합계,980,25,21,1549,248747,민간(대학로),서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터
66,롯데콘서트홀,합계,2036,360,358,419,245316,민간(대학로 외),서울특별시 송파구 올림픽로 300 (신천동) 롯데월드몰 8층 롯데문화재단
67,LG아트센터 서울,LG SIGNATURE 홀,1335,29,29,196,200678,민간(대학로 외),서울특별시 강서구 마곡중앙로 136(마곡동)
68,LG아트센터 서울,U+ 스테이지,365,16,16,645,37086,민간(대학로 외),서울특별시 강서구 마곡중앙로 136(마곡동)
69,LG아트센터 서울,합계,1700,45,45,841,237764,민간(대학로 외),서울특별시 강서구 마곡중앙로 136(마곡동)
