"자치구별(2)
자치구별(2)","소계
계","소계
남자","소계
여자","지체
계",지체남자,지체여자,뇌병변계,뇌병변남자,뇌병변여자,시각계,시각남자,시각여자,청각계,청각남자,청각여자,언어계,언어남자,언어여자,지적장애계,지적장애남자,지적장애여자,자폐성계,자폐성남자,자폐성여자,정신장애계,정신장애남자,정신장애여자,신장장애계,신장장애남자,신장장애여자,심장장애계,심장장애남자,심장장애여자,호흡기계,호흡기남자,호흡기여자,간계,간남자,간여자,안면계,안면남자,안면여자,장루요루계,장루요루남자,장루요루여자,뇌전증계,뇌전증남자,뇌전증여자
소계,391859,227070,164789,164464,92655,71809,39859,23498,16361,40991,24622,16369,61995,34150,27845,3421,2435,986,27634,16855,10779,7491,6306,1185,16546,8414,8132,18883,11250,7633,998,640,358,2156,1585,571,2715,1858,857,385,211,174,3087,1914,1173,1234,677,557
종로구,5834,3364,2470,2429,1330,1099,558,334,224,676,430,246,973,546,427,45,29,16,399,236,163,109,91,18,255,128,127,255,154,101,14,6,8,25,18,7,44,30,14,5,2,3,33,23,10,14,7,7
중구,5552,3191,2361,2411,1311,1100,533,341,192,689,417,272,914,498,416,29,20,9,307,186,121,76,59,17,207,122,85,232,130,102,13,8,5,35,31,4,38,29,9,8,3,5,39,25,14,21,11,10
용산구,7621,4393,3228,3145,1712,1433,735,427,308,926,568,358,1197,657,540,63,46,17,526,331,195,142,115,27,277,149,128,374,226,148,19,12,7,47,34,13,71,56,15,5,4,1,72,44,28,22,12,10
성동구,11092,6404,4688,4870,2729,2141,1129,669,460,1108,645,463,1721,931,790,101,79,22,704,430,274,211,182,29,400,210,190,497,298,199,31,19,12,83,64,19,90,60,30,12,8,4,94,57,37,41,23,18
광진구,12183,7026,5157,5308,2950,2358,1171,675,496,1302,791,511,1847,1067,780,92,64,28,805,466,339,210,179,31,517,255,262,605,346,259,32,22,10,57,49,8,65,44,21,9,5,4,116,84,32,47,29,18
동대문구,15481,8998,6483,6950,3882,3068,1544,916,628,1483,930,553,2500,1392,1108,144,108,36,916,587,329,193,165,28,641,343,298,717,417,300,34,23,11,75,61,14,107,71,36,18,10,8,116,70,46,43,23,20
중랑구,20279,11773,8506,9223,5210,4013,2087,1245,842,2086,1238,848,2650,1506,1144,181,131,50,1346,833,513,275,229,46,870,431,439,1017,598,419,52,32,20,142,113,29,102,63,39,14,5,9,162,102,60,72,37,35
성북구,17471,9967,7504,7513,4122,3391,1787,1022,765,1943,1163,780,2652,1461,1191,175,121,54,1176,725,451,272,233,39,643,334,309,837,483,354,36,25,11,97,69,28,126,84,42,20,9,11,145,89,56,49,27,22
강북구,17186,9755,7431,7328,4065,3263,1655,985,670,1899,1064,835,2805,1567,1238,148,104,44,1227,694,533,195,169,26,738,376,362,779,460,319,34,19,15,100,78,22,85,54,31,7,3,4,134,88,46,52,29,23
도봉구,15345,8866,6479,6459,3635,2824,1644,967,677,1618,965,653,2375,1303,1072,120,81,39,1110,689,421,210,172,38,675,374,301,741,427,314,36,23,13,68,49,19,98,61,37,17,11,6,135,83,52,39,26,13
노원구,26696,14747,11949,11182,6063,5119,2749,1549,1200,2704,1503,1201,3757,1930,1827,241,162,79,2321,1379,942,425,348,77,1480,701,779,1159,693,466,86,60,26,153,105,48,120,81,39,32,16,16,185,102,83,102,55,47
