분류명,공간명(한글),공간명(영어),개관년도,지역,우편번호,주소,Latitude,Longitude
전시시설,[의외의 조합]_청년예술공간지원사업 선정공간,combination,2016,중구   ,4603,서울시 중구 동호로17길 121 (신당동),37.5538047,127.0046332
전시시설,[17717]_청년예술공간지원사업 선정공간,17717,2014,성북구  ,2835,서울시 성북구 성북로8길 11 (성북동),37.59114,127.0043909
전시시설,[space55]_청년예술공간지원사업 선정공간,space55,2017,은평구  ,3452,서울시 은평구 증산로19길 9-3 (신사동),37.6018301,126.9100382
공연장,[게토얼라이브]_청년예술공간지원사업 선정공간,ghettoalive,2016,성동구  ,4778,"서울시 성동구 왕십리로 104 (성수동1가, 영화빌딩)",37.5402894,127.0557127
전시시설,[대안예술공간이포]_청년예술공간지원사업 선정공간,deaan,2008,영등포구 ,7299,서울시 영등포구 도림로126길 9 (문래동3가),37.5159087,126.9013379
전시시설,[더레퍼런스]_청년예술공간지원사업 선정공간,the,2018,종로구  ,3042,서울시 종로구 자하문로24길 44 (효자동),37.5822977,126.9718062
전시시설,[디비판화작업실]_청년예술공간지원사업 선정공간 ,divi,2017,마포구  ,4039,서울시 마포구 홍익로5길 59 (서교동),37.5527389,126.9196935
전시시설,[레벨나인]_청년예술공간지원사업 선정공간,LEVEL,2017,마포구  ,4002,서울시 마포구 서교동 459-4,37.5553626,126.9160315
전시시설,[레인보우큐브]_청년예술공간지원사업 선정공간,rainbow,2015,마포구  ,4085,서울시 마포구 토정로2길 6-19 (합정동),37.5448395,126.9129124
공연장,[벨로주]_청년예술공간지원사업 선정공간,BELLOJU,2015,마포구  ,4038,"서울시 마포구 잔다리로 46 (서교동, 서교동 스튜디오)",37.5524282,126.9188166
공연장,[보폴(VOFOL)]_청년예술공간지원사업 선정공간,vofol,2017,광진구  ,5007,서울시 광진구 동일로 170 (화양동),37.5472346,127.0671081
전시시설,[산수문화]_청년예술공간지원사업 선정공간,SANSO,2016,관악구  ,8763,"서울시 관악구 조원로 154 (신림동, 대성빌딩)",37.4856437,126.9193143
전시시설,[상업화랑]_청년예술공간지원사업 선정공간,snagup,2017,중구   ,4544,서울시 중구 을지로 143 (을지로3가),37.5666263,126.9930285
전시시설,[소쇼]_청년예술공간지원사업 선정공간,SO,2017,종로구  ,3056,서울시 종로구 북촌로6길 32-4 (계동),37.582568,126.9878454
전시시설,[스튜디오엔케이앤킵인터치]_청년예술공간지원사업 선정공간,studio,2017,종로구  ,3060,서울시 종로구 북촌로1길 13 (안국동),37.5773241,126.9849474
전시시설,[스페이스공공연희x카페보스토크]_청년예술공간지원사업 선정공간,musosoc,2013,서대문구 ,3698,서울시 서대문구 연희로25길 98 (연희동),37.5695365,126.9318315
전시시설,[아노브]_청년예술공간지원사업 선정공간,anove,2017,용산구  ,4409,서울시 용산구 대사관로34길 40 (한남동),37.531414,127.0055987
문예회관,[아츠스테이] 문래 1호점 입주자 모집합니다~! (지금 바로 R룸 예약 가능!),artxstay,2019,영등포구 ,7299,서울시 영등포구 문래동3가 54-44,37.5137785,126.8971145
전시시설,[아터테인]_청년예술공간지원사업 선정공간,artertain,2014,서대문구 ,3695,서울시 서대문구 홍연길 63-4 (연희동),37.5764632,126.9301553
전시시설,[아트랩반]_청년예술공간지원사업 선정공간,art,2016,마포구  ,4059,서울시 마포구 와우산로 114 (창전동),37.5502554,126.9300858
전시시설,[아티스트런스페이스쇼앤텔]_청년예술공간지원사업 선정공간,artistrunspaceshowandtell,2017,영등포구 ,7206,서울시 영등포구 양평로18길 8 (양평동4가),37.5343456,126.8950679
공연장,[연희예술극장]_청년예술공간지원사업 선정공간,ARTSPACE,2017,서대문구 ,3708,서울시 서대문구 연희맛로 2-3 (연희동),37.5656249,126.928594
전시시설,[인스턴트루프]_청년예술공간지원사업 선정공간,INSTANT,2014,종로구  ,3061,서울시 종로구 윤보선길 19-6 (안국동),37.577059,126.9837434
전시시설,[재미공작소]_청년예술공간지원사업 선정공간,FUN,2011,영등포구 ,7299,서울시 영등포구 도림로 428-1 (문래동3가),37.5172698,126.8957152
전시시설,[탈영역우정국]_청년예술공간지원사업 선정공간,TALYOUN,2015,마포구  ,4078,서울시 마포구 독막로20길 42-1 (창전동),37.5486474,126.9287066
전시시설,[포럭]_청년예술공간지원사업 선정공간,po,2016,강동구  ,5390,서울시 강동구 풍성로 161 (성내동),37.5308124,127.1300059
공연장,[플레이스비브]_청년예술공간지원사업 선정공간,PLAYSBIBE,2017,성동구  ,4795,서울시 성동구 아차산로7나길 14 (성수동2가),37.5479258,127.0569359
공연장,1m클래식 아트홀,1m Classic Art Hall,2007,종로구  ,       ,서울시 종로구 동숭동 1-45 자유빌딩 4층,37.5827608,127.0036164
도서관,4.19혁명 기념도서관,,    ,종로구  ,110-102,서울시 종로구 새문안로 17,37.5674948,126.9676947
미술관,63스카이아트미술관,,    ,영등포구 ,150-763,서울시 영등포구 63로 50,37.5198332,126.9400724
