시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소,Latitude,Longitude,정원(수용인원),현인원,전화번호,우편번호
서울꽃동네신내노인요양원,A0001,(노인) 노인요양시설,노인의료복지시설,자치구,최은숙,1126000000,중랑구,서울특별시 중랑구 신내로 194 ,37.6161911,127.0949649,234,234,02-490-2609,2052
청운노인요양원,A0003,(노인) 노인요양시설,노인의료복지시설,자치구,이종후,1111000000,종로구,서울특별시 종로구 비봉길 76 (구기동),37.6149866,126.9548469,45,45,02-3217-0057,3001
천사노인요양원,A0007,(노인) 노인요양시설,노인의료복지시설,자치구,김샛별,1150000000,강서구,서울특별시 강서구 강서로45다길 30-22,37.5467045,126.8338147,161,151,02-2602-2443,7704
서울특별시립 남부노인전문요양원,A0016,(노인) 노인요양시설,노인의료복지시설,자치구,한철수,1156000000,영등포구,경기도 군포시 고산로 589,37.3659651,126.9253003,190,188,031-390-1003,15820
노인요양센터 인영실버,A0099,(노인) 노인요양시설,노인의료복지시설,자치구,이희법,1154500000,금천구,서울특별시 금천구 금하로 596-0 ,37.4534373,126.8979482,96,84,02-804-6141,8632
동명노인복지센타,A0100,(노인) 노인요양시설,노인의료복지시설,자치구,김병한,1162000000,관악구,서울특별시 관악구 봉천로23라길 15(봉천동),37.48832,126.9372535,90,90,02-875-2770,151829
영기노인요양원,A0131,(노인) 노인요양시설,노인의료복지시설,자치구,김원제,1135000000,노원구,서울특별시 노원구 동일로248길 30 (상계동),37.6805716,127.056858,83,83,02-939-8111,1623
은천노인요양센터,A0343,(노인) 노인요양시설,노인의료복지시설,자치구,박애자,1123000000,동대문구,서울특별시 동대문구 장한로27가길 66 (장안동),37.5760041,127.0714096,28,29,02-2249-9980,2527
동작실버센터,A0347,(노인) 노인요양시설,노인의료복지시설,자치구,이재희,1159000000,동작구,서울특별시 동작구 노량진로32길 53 (본동),37.5116118,126.9571952,68,68,02-821-8600,6908
구립서초노인요양센터,A0368,(노인) 노인요양시설,노인의료복지시설,자치구,나종선,1165000000,서초구,서울특별시 서초구 남부순환로340길 21 (서초동 380-4),37.4817878,127.0246874,200,200,02-597-5008,6756
구립서초노인요양센터,A0386,(노인) 노인요양시설,노인의료복지시설,자치구,이민정,1165000000,서초구,서울특별시 서초구 남부순환로340길21,37.4817878,127.0246874,200,184,02-597-5008,6756
광림노인전문요양원,A0400,(노인) 노인요양시설,노인의료복지시설,자치구,홍종환,1168000000,강남구,강원 춘천시 서면 경춘로 771-79(서면),37.8407734,127.5983146,100,89,033-263-3995,24463
사랑의집,A0519,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,김원태,1117000000,용산구,서울특별시 용산구 효창원로15길 24(산천동),37.5363645,126.9535447,9,8,02-715-9020,4357
청운노인복지센터,A0607,(노인) 노인요양시설,노인의료복지시설,자치구,손창숙,1159000000,동작구,서울특별시 동작구 국사봉1길 145(상도동),37.4961025,126.9333646,100,100,02-823-3833,156844
두엄자리,A0765,(노인) 노인요양시설,노인의료복지시설,자치구,김명화,1147000000,양천구,서울특별시 양천구 목동중앙남로16다길 6-13 (목동),37.543955,126.865766,22,21,02-2642-8267,7952
청운실버센터,A0937,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,이지원,1111000000,종로구,서울특별시 종로구 자하문로28길 29 (청운동),37.5864683,126.9725963,9,9,02-730-4966,3047
시립중계노인전문요양원,A0974,(노인) 노인요양시설,노인의료복지시설,자치구,민동세,1135000000,노원구,서울특별시 노원구 섬밭로 313 (중계동),37.6430009,127.0616774,258,256,02-3399-7500,1771
시립서부노인전문요양센터,A1025,(노인) 노인요양시설,노인의료복지시설,자치구,이희근,1144000000,마포구,서울특별시 마포구 월드컵로36길 15 (성산동),37.5627445,126.9127472,270,270,02-376-0472,3937
중앙소규모요양시설,A1302,(노인) 노인요양시설,노인의료복지시설,자치구,박형준,1141000000,서대문구,서울특별시 서대문구 서소문로 43-49 (합동),37.560917,126.9650278,24,24,02-362-9262,3741
남부실버요양원,A1307,(노인) 노인요양시설,노인의료복지시설,자치구,송평섭,1154500000,금천구,서울특별시 금천구 범안로12가길 59,37.4649961,126.8944761,28,27,02-804-1957,8602
순애노인전문요양원,A1310,(노인) 노인요양시설,노인의료복지시설,자치구,마민주,1129000000,성북구,경기 고양시 덕양구 고골길 178번길73(관산동),37.7127178,126.8736909,114,80,031-962-8360,10265
어르신이행복한세상요양센터01호,A1328,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,박병택,1147000000,양천구,서울특별시 양천구 신월로 338원빌딩 2층,37.5215488,126.8584359,9,8,02-2646-3893,8086
한사랑실버케어요양원,A1515,(노인) 노인요양시설,노인의료복지시설,자치구,주광미,1123000000,동대문구,서울특별시 동대문구 장한로28길 56 (장안동),37.5726241,127.0750762,29,20,02-3394-4560,2524
자비의집,A1547,(노인) 노인요양시설,노인의료복지시설,자치구,허영숙,1138000000,은평구,서울특별시 은평구 서오릉로 30-17(녹번동),37.603743,126.9259459,25,26,02-354-1116,3380
구립하계실버센터,A1703,(노인) 노인요양시설,노인의료복지시설,자치구,김민성,1135000000,노원구,서울특별시 노원구 한글비석로 4 (하계동),37.6457565,127.0766857,76,76,02-975-9555,1862
정성요양원,A1704,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,김대경,1159000000,동작구,서울특별시 동작구 보라매로 89-0거성빌딩 6층,37.4973551,126.9276523,9,9,02-822-8636,7060
효림노인요양센터,A1723,(노인) 노인요양시설,노인의료복지시설,자치구,김동금,1141000000,서대문구,서울특별시 서대문구 경기대로9길 62 (충정로3가),37.5643403,126.9608869,21,21,02-313-5124,3746
호선실버센터,A1926,(노인) 노인요양시설,노인의료복지시설,자치구,배국원,1150000000,강서구,서울특별시 강서구 수명로2길 96-0,37.5511166,126.8279417,110,95,02-2662-6712,7636
강북노인전문요양원,A1945,(노인) 노인요양시설,노인의료복지시설,자치구,김응익,1130500000,강북구,서울특별시 강북구 삼양로92길 20(수유동),37.6365576,127.0179096,80,78,02-900-8957,1082
유자원,A2007,(노인) 노인요양시설,노인의료복지시설,자치구,장영실,1123000000,동대문구,서울특별시 동대문구 망우로 82 (휘경동),37.589321,127.064443,120,100,02-3394-5467,2500
시립동부노인전문요양센터,A2112,(노인) 노인요양시설,노인의료복지시설,자치구,곽금봉,1120000000,성동구,서울특별시 성동구 마장로23길 12 (홍익동),37.5675474,127.0327809,296,296,02-3407-2705,4706
정원치매노인요양센터,A2159,(노인) 노인요양시설,노인의료복지시설,자치구,이호석,1138000000,은평구,경기도 파주시 장지산로200번길 32-83(광탄면),37.7548304,126.8867946,168,148,031-943-7001,10954
청암노인요양원,A2214,(노인) 노인요양시설,노인의료복지시설,자치구,이성희,1171000000,송파구,서울특별시 송파구 성내천로 193 (마천동),37.4978798,127.152872,70,70,02-443-4048,5745
정원노인요양원,A2215,(노인) 노인요양시설,노인의료복지시설,자치구,강혜식,1138000000,은평구,경기도 파주시 장지산로200번길 32-83(광탄면),37.7548304,126.8867946,112,96,031-942-8887,10954
서초성심노인복지센터,A2361,(노인) 노인요양시설,노인의료복지시설,자치구,오명숙,1165000000,서초구,서울특별시 서초구 반포대로22길 61 (서초동 1558-15),37.4905852,127.0117619,29,29,02-582-6004,6646
일광노인요양센터,A2412,(노인) 노인요양시설,노인의료복지시설,자치구,장성란,1129000000,성북구,서울특별시 성북구 보문로31길 70 (삼선동3가),37.5869502,127.0134844,29,24,02-742-0755,2863
청남노인요양공동생활가정,A2538,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,강경희,1159000000,동작구,서울특별시 동작구 강남초등8길 20-04층,37.5052632,126.9509905,9,9,02-566-6976,156830
사랑이있는집노인요양공동생활가정,A2912,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,정문자,1121500000,광진구,서울특별시 광진구 용마산로8마길 7-10(중곡동),37.5608384,127.0902351,9,9,02-456-0775,4939
구립용산노인전문요양원,A2944,(노인) 노인요양시설,노인의료복지시설,자치구,김신희,1117000000,용산구,서울특별시 용산구 효창원로93길 51 (효창동),37.5471422,126.9615757,91,91,02-715-5540,4311
구립영등포노인케어센터,A3121,(노인) 노인요양시설,노인의료복지시설,자치구,이지은,1156000000,영등포구,서울특별시 영등포구 도림로 482,37.516847,126.8903615,118,118,02-2637-3960,7296
남부실버요양센터 다솔관,A3370,(노인) 노인요양시설,노인의료복지시설,자치구,이경옥,1154500000,금천구,서울특별시 금천구 범안로12가길 59,37.4649961,126.8944761,63,63,02-804-1957,8602
아름다운실버홈,A3469,(노인) 노인요양시설,노인의료복지시설,자치구,박은영,1111000000,종로구,서울특별시 종로구 평창길 123 (평창동),37.6125152,126.9654191,16,16,02-394-0461,3002
성암장수마을,A3710,(노인) 노인요양시설,노인의료복지시설,자치구,황용규,1174000000,강동구,서울특별시 강동구 구천면로68길 46 (천호동),37.5438626,127.1404478,100,75,02-489-2081,5306
북악실버홈 (휴지중),A3980,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,손양순,1111000000,종로구,서울특별시 종로구 진흥로 493-6 (신영동),37.6045543,126.9618825,5,0,02-391-7936,3007
