"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소","정원(수용인원)","현인원","전화번호","우편번호"
"대린원","C0001","(장애인) 장애유형별거주시설","장애인거주시설","자치구","임은희","1135000000","노원구","서울특별시 노원구 동일로248길 30(상계1동)","54","31","02-939-2298","01623"
"동천의집","C0003","(장애인) 장애유형별거주시설","장애인거주시설","자치구","김영문","1135000000","노원구","서울특별시 노원구 노원로 18길 41 (하계동 288-1)(하계1동)","70","64","02-974-9577","01747"
"누림홈","C0005","(장애인) 장애유형별거주시설","장애인거주시설","자치구","송용성","1147000000","양천구","경기도 김포시 대곶면 율생중앙로 83 ","70","58","031-987-9324","10040"
"삼성농아원","C0012","(장애인) 장애유형별거주시설","장애인거주시설","자치구","엄종숙","1159000000","동작구","서울특별시 동작구 양녕로30길 19-4(동작구)","62","28","02-823-2234","156841"
"다니엘복지원","C0014","(장애인) 장애유형별거주시설","장애인거주시설","자치구","지승현","1165000000","서초구","서울특별시 서초구 헌릉로468길 21-16  ","80","70","02-445-4892","137180"
"늘편한집","C0029","(장애인) 중증장애인거주시설","장애인거주시설","자치구","안성균","1135000000","노원구","서울특별시 노원구 중계로 163(중계본동)","45","39","02-933-5228","01736"
"임마누엘집","C0030","(장애인) 장애유형별거주시설","장애인거주시설","자치구","김경식","1171000000","송파구","서울특별시 송파구 양산로10길 26","55","51","02-449-6956","05773"
"아름해든집","C0054","(장애인) 중증장애인거주시설","장애인거주시설","자치구","강순옥","1174000000","강동구","서울특별시 강동구 고덕로 295-45(고덕동,나동)","39","35","02-3427-0870","05225"
"신아재활원","C0057","(장애인) 장애유형별거주시설","장애인거주시설","자치구","황성수","1171000000","송파구","서울특별시 송파구 양산로8길 17","134","125","02-400-4695","05773"
"우성원","C0073","(장애인) 장애유형별거주시설","장애인거주시설","자치구","임경순","1174000000","강동구","서울특별시 강동구 고덕로 295-45(고덕2동)","86","74","02-428-0870","05225"
"해맑은마음터","C0075","(장애인) 중증장애인거주시설","장애인거주시설","자치구","최문준","1147000000","양천구","경기도 김포시 대곶면 율생중앙로 89 ","77","69","031-981-7909","10040"
"영락애니아의집","C0083","(장애인) 중증장애인거주시설","장애인거주시설","자치구","조지영","1117000000","용산구","서울특별시 용산구 후암로4길 70(후암동)","30","30","02-754-8507","04336"
"암사재활원","C0086","(장애인) 중증장애인거주시설","장애인거주시설","자치구","박성진","1174000000","강동구","서울특별시 강동구 올림픽로 864(암사3동)","50","48","02-441-0407","05207"
"문혜장애인요양원","C0093","(장애인) 중증장애인거주시설","장애인거주시설","자치구","이재용","1111000000","종로구","강원도 철원군 갈말읍 텃골1길 13문혜장애인요양원 ","200","146","033-452-7881","24030"
"참 좋은집","C0141","(장애인) 중증장애인거주시설","장애인거주시설","자치구","박광준","1144000000","마포구","충청북도 충주시 산척면 지속골길 71 ","30","30","043-853-5313","27316"
"은평재활원","C0170","(장애인) 장애유형별거주시설","장애인거주시설","자치구","하성도","1138000000","은평구","서울특별시 은평구 갈현로11길 30","50","50","02-385-2046","03428"
"오틸리아 공동생활가정","C0189","(장애인) 장애인공동생활가정","장애인거주시설","자치구","허명환","1168000000","강남구","서울특별시 강남구 학동로26길 15401호 (논현동)","4","4","0234610811","06112"
"생수의집","C0190","(장애인) 중증장애인거주시설","장애인거주시설","자치구","김종수","1171000000","송파구","경기 포천시 군내면청군로 2813-18(직두리 155-5)","56","41","031-536-0585","11155"
"에스알씨(SRC)보듬터","C0203","(장애인) 장애유형별거주시설","장애인거주시설","자치구","황정모","1162000000","관악구","경기도 광주시 경수길 25-0SRC보듬터","55","54","031-799-3972","12728"
"새빛바울의집","C0208","(장애인) 장애유형별거주시설","장애인거주시설","자치구","조석환","1165000000","서초구","서울특별시 서초구 방배중앙로 99 (방배동)(방배동)","33","24","02-533-9863","06570"
"바르티매오공동생활가정","C0209","(장애인) 장애인공동생활가정","장애인거주시설","자치구","허명환","1138000000","은평구","서울특별시 은평구 불광로9가길 4302호 (불광동)","4","4","02-722-0988","03353"
"은혜장애인요양원","C0216","(장애인) 중증장애인거주시설","장애인거주시설","자치구","이정희","1111000000","종로구","강원 철원군 갈말읍 텃골1길 19호","228","160","033-452-6161","24030"
"동천하우스5","C0239","(장애인) 장애인공동생활가정","장애인거주시설","자치구","김영문","1126000000","중랑구","서울특별시 중랑구 동일로104길 3-3301호","4","4","02-6084-5582","131820"
"교남소망의집","C0246","(장애인) 장애유형별거주시설","장애인거주시설","자치구","권나영","1150000000","강서구","서울특별시 강서구 까치산로22길 38-0","58","57","02-2602-3880","157913"
"베데스다의 집","C0252","(장애인) 장애인공동생활가정","장애인거주시설","자치구","홍석인","1135000000","노원구","서울특별시 노원구 중계로8길 39-0211동110호(중계동,현대그린아파트)","4","4","02-3392-0265","139933"
"신망애의집","C0270","(장애인) 장애인단기거주시설","장애인거주시설","자치구","안도준","1165000000","서초구","서울특별시 서초구 남부순환로342길 56-58  ","17","10","02-577-4186","137892"
"한사랑장애영아원","C0298","(장애인) 장애영유아거주시설","장애인거주시설","자치구","김미애","1156000000","영등포구","경기도 광주시 초월읍 산수로554번길 59-14 ","65","50","031-764-1119","12729"
"다니엘의집1호","C0300","(장애인) 장애인공동생활가정","장애인거주시설","자치구","김상호","1165000000","서초구","서울특별시 서초구 염곡안길 19201호","4","4","02-6011-3517","06793"
"다니엘의집2호","C0301","(장애인) 장애인공동생활가정","장애인거주시설","자치구","김상호","1165000000","서초구","서울특별시 서초구 염곡안길 19-0302호","4","4","025815987","06793"
"다니엘단기보호센터","C0310","(장애인) 장애인단기거주시설","장애인거주시설","자치구","이아미","1165000000","서초구","서울특별시 서초구 헌릉로468길 21-16(내곡동)","10","11","02-445-8062","06796"
"한사랑마을","C0485","(장애인) 중증장애인거주시설","장애인거주시설","자치구","이규성","1156000000","영등포구","경기도 광주시 산수로554번길 59-14(영등포구)","80","80","031-764-2115","12729"
"소망의집","C0496","(장애인) 장애인공동생활가정","장애인거주시설","자치구","정성우","1130500000","강북구","서울특별시 강북구 인수봉로64길 30302호,303호(수유동)","4","4","02-902-8335","01084"
"더홈","C0507","(장애인) 장애유형별거주시설","장애인거주시설","자치구","허곤","1135000000","노원구","서울특별시 노원구 중계로 163-0(중계본동)","40","36","02-930-4635","139855"
"쉼터","C0512","(장애인) 중증장애인거주시설","장애인거주시설","자치구","김대석","1135000000","노원구","","70","57","02-937-5057","01623"
"서울특별시립평화로운집","C0518","(장애인) 중증장애인거주시설","장애인거주시설","자치구","임영관","1138000000","은평구","서울특별시 은평구 갈현로 15길 27-1 (구산동 산61-8번지)","150","145","0231566500","03428"
"주몽재활원","C0527","(장애인) 장애유형별거주시설","장애인거주시설","자치구","강향식","1174000000","강동구","서울특별시 강동구 상암로 369-0(상일동)","60","42","07082550315","05280"
"다움장애아동지원센터","C0541","(장애인) 장애유형별거주시설","장애인거주시설","자치구","김잔디","1138000000","은평구","서울특별시 은평구 갈현로11길 30은평기쁨의집","50","43","070-7113-5515","03428"
"승가원행복마을","C0622","(장애인) 중증장애인거주시설","장애인거주시설","자치구","신운화","1129000000","성북구","서울특별시 성북구 개운사길 76-1(안암동)","55","53","02-921-6410","02842"
"송천한마음의집","C0656","(장애인) 중증장애인거주시설","장애인거주시설","자치구","이현숙","1156000000","영등포구","경기도 남양주시 수동면 비룡로1742번길 95 ","60","50","031-559-4322","12024"
"두레네집공동생활가정","C0661","(장애인) 장애인공동생활가정","장애인거주시설","자치구","최선화","1162000000","관악구","서울특별시 관악구 법원단지길 97-3","4","4","028666155","08852"
"한빛맹아원","C0739","(장애인) 장애유형별거주시설","장애인거주시설","자치구","류경화","1130500000","강북구","서울특별시 강북구 삼양로73가길 47삼양로73가길 47","60","48","02-989-6017","01103"
"헬렌켈러의집단기거주시설","C0741","(장애인) 장애인단기거주시설","장애인거주시설","자치구","윤미진","1130500000","강북구","서울특별시 강북구 삼양로91가길 8 (수유동, js홈타운) 2동 302, 401, 402호","10","10","02-980-1791","01090"
"다니엘의집3호","C0745","(장애인) 장애인공동생활가정","장애인거주시설","자치구","최은경","1165000000","서초구","서울특별시 서초구 신반포로43길 154층401호 (잠원동, 동양텔)(잠원동, 동양텔)","4","4","02-525-2569","06532"
