,시설명,공연장수,총객석수,공연장명,객석수,시설특성,개관연도,지역,Unnamed: 8,구,Latitude,Longitude
4,1M SPACE,1,55,1M SPACE,55,민간(대학로 외),2019,서울,서대문구,서울특별시 서대문구 연세로4길 27 (창천동),37.5576159,126.9382061
5,1m클래식아트홀,1,130,1m클래식아트홀,130,민간(대학로),2008,서울,종로구,서울 종로구 종로1길 50 (중학동)더케이트윈타워,37.574638,126.979181
8,2001 아울렛키즈홀 [구로],1,100,2001 아울렛키즈홀 [구로],100,민간(대학로 외),2008,서울,구로구,서울특별시 구로구 중앙로1길 36 (고척동),37.4981005,126.8626639
10,20세기소년,1,0,20세기소년,0,민간(대학로 외),0,서울,중구,서울특별시 중구 동호로24길 27-5(장충동2가),37.560452,127.0051137
11,242,1,0,242,0,기타(비공연장),0,서울,용산구,서울특별시 용산구 이태원로 242 (한남동) 2층,37.536253,127.0003007
14,369마실,1,0,369마실,0,기타(비공연장),0,서울,성북구,서울특별시 성북구 삼선교로4가길 13-1 (삼선동1가),37.5870299,127.0059543
15,4560designhaus (디자인하우스),1,0,4560designhaus(디자인하우스),0,기타(비공연장),0,서울,서초구,서울특별시 서초구 매헌로 16 (양재동),37.4633949,127.0370136
17,57th gallery(57갤러리),1,0,57th gallery(57갤러리),0,기타(비공연장),0,서울,종로구,서울특별시 종로구 율곡로3길 17 (송현동),37.5783639,126.9821577
18,63아트홀,1,467,63아트홀,467,민간(대학로 외),2009,서울,영등포구,서울특별시 영등포구 63로 50 (여의도동),37.520693,126.9371057
19,640아트타워,1,92,640아트홀,92,민간(대학로 외),2016,서울,강남구,서울특별시 강남구 언주로172길 25 (신사동),37.5275808,127.0360355
33,CJ아지트 광흥창,1,250,CJ아지트 광흥창,250,민간(대학로 외),2009,서울,마포구,서울특별시 마포구 창전로 14 (신정동) CJ아지트,37.5442097,126.9303207
34,CJ아지트 대학로 (구. SM아트홀),1,190,CJ아지트 대학로 (구. SM아트홀),190,민간(대학로),2016,서울,종로구,서울특별시 종로구 대학로12길 69 (동숭동),37.5810306,127.00396
36,CLUB bender(클럽 벤더),1,0,CLUB bender(클럽 벤더),0,민간(대학로 외),0,서울,마포구,서울특별시 마포구 와우산로14길 4 (상수동) 지하1층,37.5500521,126.9233505
38,CTS아트홀,1,404,CTS아트홀,404,민간(대학로 외),2005,서울,동작구,서울특별시 동작구 노량진로 100 (노량진동),37.5129482,126.9370009
40,D:BASE (디:베이스),1,212,D:BASE (디:베이스),212,민간(대학로),2015,서울,종로구,서울특별시 종로구 대학로10길 26 (동숭동),37.5830555,127.004009
43,DS ART HALL(창선당),1,137,DS ART HALL(창선당),137,민간(대학로 외),2014,서울,종로구,서울특별시 종로구 청계천로 279 (종로6가),37.5709151,127.0078321
44,Ean Hall For Jazz (이안홀),1,0,Ean Hall For Jazz (이안홀),0,민간(대학로 외),0,서울,강남구,서울특별시 강남구 테헤란로77길 11-19(삼성동),37.5066935,127.0530523
47,GBB스페이스홀(구. 임혁필소극장),1,100,GBB스페이스홀(구. 임혁필소극장),100,민간(대학로 외),2012,서울,마포구,서울특별시 마포구 포은로 14 (합정동),37.5494824,126.9093061
49,G스페이스홀(지스페이스홀),1,55,G스페이스홀(지스페이스홀),55,민간(대학로 외),2020,서울,마포구,서울특별시 마포구 포은로 14 (합정동),37.5494824,126.9093061
50,H-스테이지,1,0,H-스테이지,0,민간(대학로 외),0,서울,마포구,서울특별시 마포구 와우산로 97(서교동),37.5531151,126.9243483
55,IMCL MUSIC STUDIO,1,0,IMCL MUSIC STUDIO,0,민간(대학로 외),2022,서울,강서구,서울특별시 강서구 공항대로42길 23-3(내발산동),37.5567651,126.8437662
56,IPAC홀(인터내셔널퍼포밍아트센터),1,0,IPAC홀(인터내셔널퍼포밍아트센터),0,민간(대학로 외),0,서울,서초구,서울특별시 서초구 효령로52길 16 (서초동),37.4836118,127.0128407
60,JCC 아트센터,4,175,"콘서트홀
4전시장
오디토리움
크리에이티브 스튜디오","175
0
0
0",민간(대학로),2015,서울,종로구,서울특별시 종로구 창경궁로35길 29 (혜화동) JCC 아트센터,37.5872782,127.0020262
61,JCC크리에이티브센터,1,0,스튜디오,0,민간(대학로 외),0,서울,종로구,서울특별시 종로구 창경궁로35길 45(혜화동),37.5873247,127.0027881
62,JDB스퀘어,1,120,JDB스퀘어,120,민간(대학로 외),2018,서울,마포구,서울특별시 마포구 잔다리로 31 (서교동),37.5512165,126.9196331
63,JH아트홀,1,155,JH아트홀,155,민간(대학로),2012,서울,종로구,서울특별시 종로구 대학로8가길 64 (동숭동),37.5830057,127.0030586
64,JS아트홀 (구. 고스트씨어터 구.다소니씨어터),1,194,JS아트홀 (구. 고스트씨어터 구.다소니씨어터),194,민간(대학로),2018,서울,종로구,서울특별시 종로구 동숭길 94 (동숭동),37.5824409,127.004348
65,JTN 아트홀(구. 대학로예술마당),4,856,"2관
1관
4관
3관","210
230
208
208",민간(대학로),2016,서울,종로구,서울특별시 종로구 이화장길 26 (이화동),37.5766289,127.0039406
66,JnJ아트컨벤션,1,0,JnJ아트컨벤션,0,민간(대학로 외),0,서울,영등포구,서울특별시 영등포구 문래로 164 (문래동3가),37.5176027,126.8999775
69,KBEC발레시어터,1,75,소극장,75,민간(대학로 외),2017,서울,송파구,서울특별시 송파구 양재대로71길 8 (방이동) KBEC발레시어터,37.5106306,127.1260091
73,KBS스포츠월드(아레나),1,2222,KBS아레나,2222,공공(기타),2015,서울,강서구,서울특별시 강서구 공항대로 376 (화곡동) kbs스포츠월드,37.5566101,126.8483497
74,KBS홀,1,1661,KBS홀,1661,공공(기타),1991,서울,영등포구,서울특별시 영등포구 여의공원로 13 (여의도동),37.5253618,126.916382
79,KB아트홀 [강남] (구. LIG아트홀 강남),1,147,KB아트홀 [강남] (구. LIG아트홀 강남),147,민간(대학로 외),2006,서울,강남구,서울특별시 강남구 테헤란로 117 (역삼동) KB손해보험빌딩,37.4991928,127.0302652
83,KOCCA콘텐츠문화광장,1,193,스테이지66,193,공공(기타),2017,서울,동대문구,서울특별시 동대문구 회기로 66 (청량리동),37.5905801,127.044711
84,KOMCA홀,1,0,KOMCA홀,0,민간(대학로 외),0,서울,강서구,서울특별시 강서구 공항대로 332(내발산동),37.5576109,126.8442862
85,KOTE(코트),1,0,KOTE Live,0,민간(대학로 외),0,서울,종로구,서울특별시 종로구 인사동길 7 (인사동),37.5735356,126.9866641
88,KT&G 상상마당 대치아트홀,1,422,KT&G 상상마당 대치아트홀,422,민간(대학로 외),2006,서울,강남구,서울특별시 강남구 영동대로 416 (대치동),37.4991887,127.0633458
89,KT&G 상상마당 라이브홀 [마포],1,185,KT&G 상상마당 라이브홀 [마포],185,민간(대학로 외),2007,서울,마포구,서울특별시 마포구 어울마당로 65 (서교동),37.551001,126.9210338
91,KT체임버홀,1,403,KT체임버홀,403,민간(대학로 외),2009,서울,양천구,서울특별시 양천구 목동서로 201 (목동),37.529457,126.871118
92,Kuonechan Object Vinyl Sign Event,1,100,Kuonechan Object Vinyl Sign Event,100,민간(대학로 외),0,서울,마포구,서울특별시 마포구 와우산로33길 27 (서교동),37.555558,126.928879
93,L&S아트홀(빛과소리아트홀),1,280,L&S아트홀(빛과소리아트홀),280,민간(대학로 외),2007,서울,서초구,서울특별시 서초구 서초중앙로24길 55 (서초동) 서초프라자 지하3층,37.4961565,127.0193719
94,LG아트센터 서울,2,1700,"LG SIGNATURE 홀
U+ 스테이지","1,335
365",민간(대학로 외),2022,서울,강서구,서울특별시 강서구 마곡중앙로 136(마곡동),37.5678212,126.8323393
95,LIG아트홀 [합정],1,190,LIG아트홀 [합정],190,민간(대학로 외),2013,서울,마포구,서울특별시 마포구 양화로 19 (합정동),37.549113,126.911227
96,LP Sound Studio,1,0,LP Sound Studio,0,민간(대학로 외),0,서울,서초구,서울특별시 서초구 바우뫼로41길 16(양재동),37.4812991,127.0413242
97,M Stage(엠스테이지),2,260,"1관
2관","180
80",민간(대학로 외),0,서울,종로구,서울특별시 종로구 인사동길 34-1 (관훈동),37.5741575,126.984682
98,M50클럽,1,0,M50클럽,0,민간(대학로),0,서울,마포구,서울특별시 마포구 월드컵북로6길 60 (동교동),37.5592737,126.9216588
102,MHN STAGE,1,80,MHN STAGE,80,민간(대학로 외),0,서울,마포구,서울특별시 마포구 와우산로 117 (서교동),37.5536267,126.9263948
103,MILDEYES,1,0,MILDEYES,0,기타(비공연장),2019,서울,용산구,서울특별시 용산구 녹사평대로 210-7(이태원동),37.5365147,126.987433
104,MODE 127,1,0,MODE 127,0,민간(대학로 외),0,서울,용산구,서울특별시 용산구 이태원로 190(이태원동),37.5358612,126.9899253
105,Mfor 아트스페이스,1,72,소극장,72,민간(대학로 외),0,서울,강남구,서울특별시 강남구 학동로30길 43-7 (논현동),37.5115913,127.0335361
106,Moor Seoul,1,0,Moor Seoul,0,민간(대학로 외),0,서울,용산구,서울특별시 용산구 한남대로20길 28 (한남동),37.5349195,127.0083321
107,Muno Studio,1,60,Muno Studio,60,민간(대학로 외),0,서울,서초구,서울특별시 서초구 강남대로8길 15-1(양재동),37.4815302,127.037622
108,M극장,1,150,M극장,150,민간(대학로 외),2006,서울,강남구,서울특별시 강남구 논현로4길 36 (개포동),37.4736878,127.0529479
111,NC소극장 [강서],1,100,NC소극장 [강서],100,민간(대학로 외),2009,서울,강서구,서울특별시 강서구 강서로56길 17 (등촌동),37.5599625,126.8403501
114,NH아트홀 판타스틱 전용관,1,405,NH아트홀 판타스틱 전용관,405,민간(대학로 외),2011,서울,중구,서울특별시 중구 통일로 120 (충정로1가),37.5665004,126.9682574
115,NVM,1,0,NVM,0,기타(비공연장),0,서울,마포구,서울특별시 마포구 동교로22길 14(서교동),37.5551122,126.9188107
117,Provoke Seoul(프로보크 서울),1,0,Provoke Seoul(프로보크 서울),0,민간(대학로 외),0,서울,영등포구,서울특별시 영등포구 영신로 87(문래동3가),37.5207302,126.8902181
118,R&J씨어터(구. 연진아트홀),1,130,R&J씨어터(구. 연진아트홀),130,민간(대학로),2006,서울,종로구,서울특별시 종로구 낙산길 14 (동숭동),37.5803585,127.005287
119,SAC 아트홀,1,295,SAC 아트홀,295,민간(대학로 외),2017,서울,강남구,서울특별시 강남구 삼성로 534 (삼성동),37.513975,127.0561274
120,SCC 선 아트홀,1,75,SCC 선 아트홀,75,민간(대학로 외),0,서울,서초구,서울특별시 서초구 동산로 44(양재동),37.4711131,127.0438378
121,"SCC홀(구. DS홀, 서울바로크챔버홀)",1,200,"SCC홀(구. DS홀, 서울바로크챔버홀)",200,민간(대학로 외),2005,서울,서초구,서울특별시 서초구 남부순환로325길 9,37.4817433,127.0144813
123,SETEC,1,1000,제3전시실,1000,기타(비공연장),2014,서울,강남구,서울특별시 강남구 남부순환로 3104(대치동),37.4957886,127.0717955
124,SH아트홀,1,262,SH아트홀,262,민간(대학로),2011,서울,종로구,서울특별시 종로구 동숭길 25 (동숭동),37.5799187,127.0035083
125,SILICA GEL VINYL POP-UP,1,100,SILICA GEL VINYL POP-UP,100,민간(대학로 외),0,서울,마포구,서울특별시 마포구 와우산로33길 27 (서교동),37.555558,126.928879
126,SJA HALL,1,120,SJA HALL,120,민간(대학로),2013,서울,종로구,서울특별시 종로구 대학로 89 - 0 대학로SJA빌딩,37.5792003,127.0018002
127,SJ비보이극장(구. 비보이전용극장),1,356,SJ비보이극장(구. 비보이전용극장),356,민간(대학로 외),2005,서울,마포구,서울특별시 마포구 와우산로 121 (서교동),37.553552,126.9267194
128,SPACE B1(스페이스비원),1,30,SPACE B1(스페이스비원),30,기타(비공연장),2018,서울,서초구,서울특별시 서초구 남부순환로347길 28 (서초동),37.4856552,127.0317091
129,SPACE BRICK (스페이스브릭),1,0,SPACE BRICK (스페이스브릭),0,민간(대학로 외),0,서울,마포구,서울특별시 마포구 잔다리로 31(서교동),37.5512165,126.9196331
131,T'able 비엘106 [강남],1,0,T'able 비엘106 [강남],0,기타(비공연장),0,서울,강남구,서울특별시 강남구 역삼로 106 (역삼동),37.492943,127.030965
132,TCC 아트센터,1,150,TCC 아트홀,150,민간(대학로 외),2011,서울,영등포구,서울특별시 영등포구 국회대로 539,37.5293095,126.8948157
133,TINC This is Not a Church(구. 명성교회),1,0,TINC,0,민간(대학로 외),2020,서울,성북구,서울특별시 성북구 동소문로10길 34-16 (삼선동4가),37.588976,127.0112856
135,The Nora stage Y(더노라 스테이지와이),1,100,The Nora stage Y(더노라 스테이지와이),100,민간(대학로 외),0,서울,마포구,서울특별시 마포구 와우산로29바길 19 (서교동) 1층,37.5554873,126.9259767
136,VERY(베리컴퍼니),2,270,"2관
1관","135
135",민간(대학로),0,서울,종로구,서울특별시 종로구 동숭3길 30 (동숭동),37.5823459,127.0048027
138,WILD WILD 전용관,1,179,WILD WILD 전용관,179,민간(대학로 외),0,서울,강남구,서울특별시 강남구 도산대로51길 19(신사동),37.5244286,127.0376581
139,We.AN (갤러리위안),1,0,We.AN (갤러리위안),0,기타(비공연장),0,서울,마포구,서울특별시 마포구 양화로16길 14-16(서교동),37.5527674,126.9200516
143,entry55,1,88,entry55,88,민간(대학로 외),2022,서울,동작구,서울특별시 동작구 동작대로1길 18(사당동),37.4774316,126.9802279
144,가나의집열림홀,1,143,가나의집열림홀,143,민간(대학로 외),2005,서울,종로구,서울특별시 종로구 대학로3길 9 (연지동),37.575045,126.9995419
148,가온스테이지,1,60,가온스테이지,60,민간(대학로 외),0,서울,마포구,서울특별시 마포구 잔다리로 59(서교동),37.5530877,126.9174838
154,가톨릭청년회관,1,200,"다리소극장 (구, CY씨어터)",200,민간(대학로 외),2010,서울,마포구,서울특별시 마포구 월드컵북로2길 49 (동교동),37.5572275,126.9230503
157,갈산문화예술센터,2,299,"아이누리홀
아트홀","200
99",공공(문예회관),2022,서울,양천구,서울특별시 양천구 목동남로 106(신정동),37.5107579,126.8701549
159,강남구민회관,1,516,강당,516,공공(기타),2005,서울,강남구,서울특별시 강남구 삼성로 154 (대치동),37.4938496,127.06415
161,강남씨어터,1,232,강남씨어터,232,공공(기타),2007,서울,강남구,서울특별시 강남구 역삼로7길 16 (역삼동),37.4953545,127.0332497
162,강남아트홀,2,270,"1관
2관","150
120",민간(대학로 외),2010,서울,서초구,"서울특별시 서초구 서초대로73길 30 (서초동, 서초성우빌리지)",37.5000705,127.0248522
163,강동구민회관,1,608,대강당,608,공공(기타),1989,서울,강동구,서울특별시 강동구 상암로 168 (천호동) 강동구민회관,37.5457299,127.1412042
165,강동아트센터,5,3256,"소극장 드림
대극장 한강
스튜디오#1
스튜디오#3(폐관)
잔디마당(바람꽃마당)(폐관)","254
862
100
40
2,000",공공(문예회관),2011,서울,강동구,서울특별시 강동구 동남로 870 (상일동),37.5511028,127.1696401
166,강동어린이회관,1,162,아이누리홀,162,공공(기타),2007,서울,강동구,서울특별시 강동구 성내로6길 16 (성내동),37.5291753,127.1224527
174,강북문화예술회관,1,668,대공연장,668,공공(문예회관),2001,서울,강북구,서울특별시 강북구 삼각산로 85 (수유동),37.6407905,127.0134278
175,강북문화예술회관 강북진달래홀,1,171,강북문화예술회관 강북진달래홀,171,공공(기타),2022,서울,강북구,서울특별시 강북구 삼각산로 85(수유동),37.6407905,127.0134278
176,강북솔밭국악당,1,100,솔밭국악당,100,민간(대학로 외),0,서울,강북구,서울특별시 강북구 삼양로 579 (우이동),37.6546777,127.0126751
177,강서구민회관,2,694,"우장홀
노을극장","609
85",공공(문예회관),1989,서울,강서구,서울특별시 강서구 우장산로 66 (내발산동),37.5519333,126.8416092
178,강서아트리움,1,215,아리홀,215,공공(문예회관),0,서울,강서구,서울특별시 강서구 가로공원로 195 (화곡동),37.5375136,126.837574
183,갤러리 반포대로5,1,0,갤러리 반포대로5,0,기타(비공연장),0,서울,서초구,서울특별시 서초구 반포대로 5(서초동),37.4810449,127.012528
186,거암아트홀,1,144,거암아트홀,144,민간(대학로 외),2022,서울,강남구,서울특별시 강남구 강남대로 652(신사동),37.523526,127.0374236
193,건국대학교 새천년관,1,805,대공연장,805,민간(대학로 외),2000,서울,광진구,서울특별시 광진구 능동로 120 (화양동) 건국대학교,37.5407625,127.0793428
196,게토얼라이브,1,75,게토얼라이브,75,민간(대학로 외),0,서울,성동구,서울특별시 성동구 왕십리로 104 (성수동1가) 정일빌딩,37.5393223,127.0468566
198,경기대학교 [서울],1,100,실습동,100,민간(대학로 외),2012,서울,서대문구,서울특별시 서대문구 경기대로9길 24 (충정로2가),37.5657002,126.9653007
206,경동교회,1,450,경동교회,450,기타(비공연장),1945,서울,중구,서울특별시 중구 장충단로 204 (장충동1가),37.5609763,127.0075809
208,경복궁,1,0,경회루,0,기타(비공연장),0,서울,종로구,서울특별시 종로구 사직로 161 (세종로),37.5808473,126.9768515
209,경복궁아트홀,1,180,경복궁아트홀,180,민간(대학로 외),2012,서울,종로구,서울특별시 종로구 자하문로 82 (효자동),37.5833524,126.9706979
228,경향아트힐,6,1652,"4관
6관
1관
2관
썬앤문전용관
5관","347
174
292
327
300
212",민간(대학로 외),2003,서울,중구,서울특별시 중구 정동길 3 (정동),37.5681697,126.9699923
229,경희대학교 평화의전당,1,4500,경희대학교 평화의전당,4500,민간(대학로 외),1999,서울,동대문구,서울특별시 동대문구 경희대로6길 7-13 (회기동),37.5967122,127.0513948
236,고라니 특공대,1,0,고라니 특공대,0,기타(비공연장),0,서울,마포구,서울특별시 마포구 토정로 136(상수동),37.5452576,126.9263165
237,고려사이버대학교,1,250,대강당,250,기타(비공연장),2001,서울,종로구,서울특별시 종로구 북촌로 106 (계동),37.5790812,126.9866179
255,골드레이블 매직,1,0,골드레이블 매직,0,민간(대학로 외),0,서울,강남구,서울특별시 강남구 도산대로12길 6(논현동),37.5171011,127.0234498
257,공간 222,1,33,공간 222,33,민간(대학로 외),2016,서울,성북구,서울특별시 성북구 동소문로 24 (동소문동2가),37.5883577,127.0065274
258,공간 만차,1,0,공간 만차,0,민간(대학로 외),0,서울,용산구,서울특별시 용산구 이태원로54길 5(한남동),37.5380507,127.0019398
259,공간 아진,1,0,공간 아진,0,민간(대학로 외),0,서울,동작구,서울특별시 동작구 사당로30길 163(사당동),37.4774993,126.9807794
260,공간 와디즈,1,0,공간 와디즈,0,민간(대학로 외),0,서울,성동구,서울특별시 성동구 연무장1길 7-1(성수동2가),37.5445381,127.0505583
262,공간 하제,1,0,공간 하제,0,민간(대학로 외),0,서울,중구,서울특별시 중구 필동로1길 10-6(필동3가),37.5586621,126.9982934
268,공간아울,1,172,공간아울,172,민간(대학로),2010,서울,종로구,서울특별시 종로구 대학로 120 (동숭동),37.581408,127.0048867
271,공감M아트센터,1,30,소극장,30,민간(대학로 외),2018,서울,성북구,서울특별시 성북구 보문로40길 11 (동소문동5가),37.591885,127.0140266
272,공감센터,1,1024,공감홀,1024,민간(대학로 외),2006,서울,중구,서울특별시 중구 퇴계로88길 38 (신당동),37.5640589,127.0202613
273,공공그라운드,1,90,001스테이지,90,민간(대학로),2017,서울,종로구,서울특별시 종로구 대학로 116 (동숭동),37.581408,127.0048867
274,공덕교회,1,1000,공덕교회,1000,기타(비공연장),2010,서울,마포구,서울특별시 마포구 마포대로11길 30 (공덕동),37.5503683,126.9603081
275,공상온도,1,80,공상온도,80,기타(비공연장),2016,서울,마포구,서울특별시 마포구 동교로23길 40 (동교동),37.5576565,126.9198014
280,관악아트홀(구. 관악문화관),1,698,관악아트홀(구. 관악문화관),698,공공(문예회관),2002,서울,관악구,서울특별시 관악구 신림로3길 35 (신림동),37.4675139,126.9448053
282,광림아트센터,2,1639,"장천홀
BBCH홀","613
1,026",민간(대학로 외),2005,서울,강남구,서울특별시 강남구 논현로163길 33 (신사동),37.5238869,127.0251531
291,광야아트센터,1,212,광야아트센터,212,민간(대학로 외),2019,서울,강남구,서울특별시 강남구 선릉로 806 (청담동),37.5238647,127.0396187
295,광운대학교 동해문화예술관,2,2432,"대극장
소극장","2,029
403",민간(대학로 외),1994,서울,노원구,서울특별시 노원구 광운로 20(월계동),37.6197029,127.0596708
320,광진어린이공연장,1,0,광진어린이공연장,0,민간(대학로 외),0,서울,광진구,서울특별시 광진구 능동로 400(중곡동),37.563544,127.0888304
323,광화문아트홀,1,278,광화문아트홀,278,공공(문예회관),2008,서울,종로구,서울특별시 종로구 인왕산로1길 21 (사직동),37.5742758,126.9646707
325,구. LG아트센터,1,1103,구. LG아트센터,1103,민간(대학로 외),2000,서울,강남구,서울특별시 강남구 논현로 508 (역삼동),37.5020938,127.0367984
328,구로구민회관,1,531,구로구민회관,531,공공(문예회관),1989,서울,구로구,서울특별시 구로구 가마산로25길 21 (구로동),37.4969468,126.8895561
329,구로아트밸리,1,579,예술극장,579,공공(문예회관),2008,서울,구로구,서울특별시 구로구 가마산로25길 9-24 (구로동),37.4965581,126.8889641
330,구름아래소극장,1,200,구름아래소극장,200,민간(대학로 외),2019,서울,마포구,서울특별시 마포구 와우산로29가길 15 (서교동),37.5541875,126.92854
338,구세군아트홀,1,0,구세군아트홀,0,민간(대학로 외),0,서울,서대문구,서울특별시 서대문구 충정로 7 (충정로3가),37.560129,126.9622567
339,국기원,1,3000,국기원,3000,기타(비공연장),1972,서울,강남구,서울특별시 강남구 테헤란로7길 32 (역삼동),37.5022479,127.0299746
343,국립국악원,5,2367,"예악당
우면당
풍류사랑방
연희마당
진악당(폐관)","706
231
130
700
600",국립,1951,서울,서초구,서울특별시 서초구 남부순환로 2364 (서초동) 국립국악원,37.4777592,127.0083043
344,국립극단 [명동],1,558,명동예술극장,558,국립,2009,서울,중구,서울특별시 중구 명동길 35 (명동1가),37.5643018,126.9846643
345,국립극단 [용산],8,332,"백성희장민호극장
소극장판
등나무
스튜디오 둘
스튜디오하나
야외마당
작은숲속 극장
블록블록 극장","182
100
0
50
0
0
0
0",국립,2010,서울,용산구,서울특별시 용산구 청파로 373 (서계동),37.5529785,126.967967
346,국립극장,5,2460,"하늘극장
별오름극장
해오름극장
달오름극장
연습실","627
100
1,221
512
0",국립,1973,서울,중구,서울특별시 중구 장충단로 59 (장충동2가),37.5528698,127.0001308
355,국립정동극장,2,386,"국립정동극장
정동마루","326
60",국립,1995,서울,중구,서울특별시 중구 정동길 43 (정동),37.5658794,126.9728864
356,국립정동극장 세실 (구.세실극장),1,234,국립정동극장 세실 (구.세실극장),234,국립,1976,서울,중구,서울특별시 중구 세종대로19길 16 (정동),37.5669296,126.9708741
