주제분류,문화시설명,주소,위도,경도
기타,경희대학교,서울특별시 동대문구 경희대로 26,37.59394914,127.054891
기타,DDP(동대문디자인플라자),서울특별시 중구 을지로 281,37.56681313,127.0096257
공연장,우란2경,서울특별시 성동구 연무장7길 11,37.54378977,127.0544169
도서관,구립은평뉴타운도서관,서울특별시 은평구 진관2로 111-51,37.6372304,126.9331183
문화예술회관,노원문화예술회관,서울특별시 노원구 중계로 181,37.65023586,127.0802693
미술관,서울시립미술관 SeMA창고,서울특별시 은평구 통일로 684,37.60933472,126.9343404
공연장,동숭무대,서울특별시 종로구 혜화로 35,37.58868966,126.9991712
박물관/기념관,한국미술박물관,서울  종로구,37.5808916,126.9890575
기타,금천예술공장,서울시 금천구 범안로15길 57,37.46891512,126.891913
도서관,송파도서관,서울특별시 송파구 동남로 263,37.49999535,127.1348515
박물관/기념관,세종대왕기념관,서울특별시 동대문구 회기로 56,37.59099289,127.0427032
문화예술회관,북촌 서울무형문화재 교육전시장,종로구 북촌로 20-13,37.5769527,126.9911313
문화원,주한독일문화원,서울특별시 용산구 소월로 132,37.55071315,126.9827115
문화원,주한영국문화원,서울특별시 중구 서소문로11길 19,37.56378783,126.9720891
도서관,고척도서관,서울특별시 구로구 고척로45길 31,37.50531999,126.8530393
기타,양천구민체육센터,서울  양천구 신정동 322-10 ),37.5165626,126.8644841
문화예술회관,강북 문화예술회관,서울  강북구,37.6408544,127.0133421
박물관/기념관,용산도시기억전시관,"한강로3가 64-1 , 용산센트럴파크 해링턴스퀘어 공공시설동 1,2층",37.52686633,126.9668797
기타,광진교 8번가,서울특별시 강동구 천호2동 527-2 광진교 8번가,37.54514626,127.1126879
박물관/기념관,서울생활사박물관,서울특별시 노원구 동일로174길 27,37.62017392,127.0769362
공연장,양천구 해누리타운 아트홀,"서울시 양천구 목동동로 85, 2충",37.51583,126.863811
도서관,강남구립못골한옥어린이도서관,서울특별시 강남구 자곡로7길 3,37.47330498,127.0997276
박물관/기념관,공평도시유적전시관,서울특별시 종로구 우정국로 26,37.57149666,126.983659
미술관,김영옥 미술관,서울특별시 종로구 창의문로10길 11,37.59387811,126.9642539
문화예술회관,양천문화재단,서울특별시 양천구 목동서로 367,37.51652093,126.86334
공연장,강동아트센터,서울  강동구 상일동 (동남로) 870,37.551449,127.157598
공연장,세종문화회관,서울 종로구 세종대로 175,37.5726241,126.9760053
공연장,은평문화예술회관,서울 은평구 녹번동 85-4 녹번동,37.6039163,126.9283646
기타,용산구립장애인복지관,서울특별시 용산구 효창원로93길 49,37.54730608,126.9615705
도서관,도봉도서관,서울특별시 도봉구 삼양로 556,37.65254746,127.0127722
기타,강북구청,서울  강북구 수유동 192-59 ),37.639748,127.025482
기타,구로구청,서울  구로구 구로동 ),37.495472,126.887536
기타,노들섬 복합문화공간,서울특별시 용산구 양녕로 445,37.51766383,126.9580365
도서관,문래정보문화도서관,서울  영등포구 문래동3가  문래로20길 49,37.5169513,126.8908871
도서관,구로구립꿈나무어린이도서관,서울  구로구 구로동로26길 54 2층,37.4895362,126.88638
미술관,갤러리 상,서울  종로구 인사동 159 길 17 (인사동),37.5723081,126.9865397
공연장,한국방송회관 코바코홀,서울특별시 양천구 목동동로 233,37.52698169,126.8713942
기타,중구평생학습센터,서울특별시 중구 예관동 120-1,37.563755,126.997541
미술관,리움미술관,서울특별시 용산구 이태원로55길 60-16,37.53846127,126.9992941
공연장,반포심산아트홀,서울특별시 서초구 사평대로 55,37.49883446,126.9912425
미술관,갤러리 인,서울  종로구 팔판동 141 ),37.5816953,126.9804329
미술관,한미사진미술관,서울특별시 송파구 위례성대로 14,37.51659259,127.1139562
기타,동대문 구민체육센터,서울특별시 동대문구 장안벚꽃로 67,37.56653099,127.0734724
도서관,관악문화관도서관,서울  관악구 신림동 209-1 ),37.4677179,126.9445375
문화예술회관,송파구체육문화회관,서울  송파구 거여동 289 ),37.4906482,127.1427868
공연장,정동극장,서울  중구 정동 8-11 길 43 (정동),37.5658626,126.9728014
공연장,종로구민회관,서울  종로구 창신동 222-8 ),37.5734077,127.0143152
도서관,구립증산정보도서관,서울특별시 은평구 증산로5길 6 (증산동 173-8) ,37.582727,126.9075589
기타,양천구청,서울  양천구 신정동 321-4 ),37.517016,126.866642
기타,북촌문화센터,서울특별시 종로구 계동길 37,37.57908788,126.9862745
공연장,신월문화체육센터,서울  양천구 신월동  지양로 37,37.5198479,126.8350363
기타,강서구시설관리공단,서울  강서구 화곡동 1103-6 ),37.5530024,126.8484762
문화예술회관,동대문문화회관,서울  동대문구 답십리동 ),37.5717914,127.0637934
박물관/기념관,한성백제박물관,서울 송파구 위례성대로 71,37.515505,127.121175
박물관/기념관,한국분재박물관,서울특별시 서초구 신흥안길 40-10,37.45313676,127.0758032
공연장,롯데월드 가든스테이지,서울특별시 송파구 올림픽로 240,37.51130961,127.0981418
공연장,예술가의집,서울특별시 종로구 동숭길 3,37.58050229,127.0032562
공연장,청아소극장(구 리듬공간소극장),서울  종로구 혜화동 195 ),37.5839997,127.0027142
미술관,가람화랑,서울특별시 종로구 인사동10길 11,37.57428279,126.9856136
미술관,간송미술관,서울  성북구 성북동  성북로 102-11,37.5936596,126.996905
기타,예지원,서울  중구 장충동2가 201-6  5-19,37.5517333,127.0024
도서관,송중문화정보센터,서울  강북구 미아동 138-11 ),37.6183421,127.030033
기타,롯데월드 아이스링크,서울특별시 송파구 올림픽로 240,37.51130961,127.0981418
문화예술회관,육영재단 어린이회관,서울특별시 광진구 광나루로 441,37.547246,127.0783044
기타,온조대왕문화체육관,서울  강동구 고덕동 296 ),37.5567379,127.1574722
기타,강남스포츠문화센터,서울  강남구 수서동 718 ),37.4891013,127.10525
기타,용산구문화체육센터,서울특별시 용산구 백범로 350,37.53724193,126.9676278
기타,서울연극센터,서울 종로구 창경궁로 253-1 2층,37.5833444,127.0013025
도서관,성동구립도서관,서울  성동구 행당동 142-4 ),37.5592667,127.0349875
기타,동대문구민회관,서울  동대문구 장안동 354-5 ),37.5672385,127.0733795
도서관,서울특별시교육청 종로도서관,서울특별시 종로구 사직로9길 5,37.57630701,126.9686207
문화예술회관,마포아트센터,서울 마포구 대흥로20길 28 마포아트센터,37.54990609,126.9455338
미술관,국립현대미술관,"서울  중구 정동  세종대로 99, 덕수궁미술관",37.5658456,126.9737396
기타,대진체육관,서울  강남구 개포동 13-1 ),37.496068,127.0787594
공연장,노원어린이극장,서울특별시 노원구 노해로 502 지하1층,37.65445005,127.0636923
문화원,강북청소년문화정보도서관,서울  강북구 미아동   (삼양로54길 68),37.6231131,127.0216031
미술관,국립현대미술관 서울,서울특별시 종로구 삼청로 30,37.57862803,126.980088
문화원,종로문화원,서울특별시 종로구 율곡로5 (사간동 122-4),37.5761054,126.9803283
도서관,서울특별시교육청 어린이도서관,서울특별시 종로구 사직로9길 7,37.57628582,126.9682319
도서관,자양4동도서관, 서울특별시 광진구 뚝섬로26길 58 (자양동),37.5340938,127.066226
기타,동대문구청,서울  동대문구 용두동 39-9 ),37.574524,127.03965
기타,서울문화재단,서울시 동대문구 청계천로 517,37.571509,127.0337136
공연장,LG아트센터 서울,서울특별시 강서구 마곡중앙로 136,37.56536299,126.8293888
기타,올림픽기념국민생활관,서울  종로구 혜화동  성균관로 91,37.5904911,126.9988244
도서관,광진정보도서관,서울특별시 광진구 아차산로78길 90 (광장동),37.5507093,127.1103315
공연장,포스트극장,서울특별시 마포구 와우산로 148,37.5541249,126.9296484
미술관,서울시립 남서울미술관,서울특별시 관악구 남부순환로 2076,37.47605354,126.9794659
공연장,문화정원아트홀,서울특별시 금천구 가산로 61,37.4718013,126.896009
기타,시민청,"서울  중구 세종대로110 B1, B2",37.566635,126.978675
공연장,성수아트홀,서울  성동구 성수동1가   656-323,37.54541449,127.0469742
기타,동작구청,서울  동작구 노량진동 47-2 ),37.51245,126.9395
기타,강남문화재단,"서울특별시 강남구 선릉로 668, 5층",37.51631968,127.0423148
문화예술회관,관천로 문화플랫폼 S1472,서울특별시 관악구 관천로 53,37.4841128,126.9257749
기타,서울풍물시장 전통문화체험관,서울특별시 동대문구 천호대로4길 21,37.57271319,127.0255029
도서관,한국사회과학도서관,서울특별시 종로구 인왕산로1길 25,37.57346325,126.9643571
공연장,우리금융아트홀,서울특별시 송파구 올림픽로 424,37.5203397,127.1155179
도서관,동작도서관,"서울 동작구 장승배기로 94 (노량진동, 동작도서관)",37.5059908,126.9401667
도서관,서대문도서관,서울특별시 서대문구 모래내로 412,37.58331862,126.940858
공연장,민속극장풍류,서울 강남구 봉은사로 406 서울중요무형문화재전수회관,37.50991,127.044364
공연장,한국의 집 민속극장,서울  중구 필동2가 80-2 ),37.5603974,126.9946116
문화원,영등포문화원,서울특별시 영등포구 신길로 275,37.51612662,126.9121264
기타,흑석체육센터,서울  동작구 흑석동  현충로 73,37.5099926,126.9633745
문화예술회관,사당문화회관,서울  동작구 사당동 248-6 ),37.4846843,126.9695831
박물관/기념관,건국대학교 박물관,서울특별시 광진구 능동로 120,37.53918267,127.0747119
공연장,서초구민체육센터,서울  서초구 반포동 114-3 ),37.498792,126.9905045
기타,송파구청,서울  송파구 신천동 29-5 ),37.514516,127.106244
도서관,송파구립거마도서정보센터,서울  송파구,37.4935731,127.1468821
공연장,서초문화예술회관 (구 서초구민회관),서울특별시 서초구 강남대로 201,37.48170939,127.0358612
박물관/기념관,연세대학교 김대중도서관,서울특별시 마포구 신촌로4길 5-26,37.55698238,126.92959
도서관,서울특별시교육청 남산도서관,서울특별시 용산구 소월로 109,37.55255642,126.9821581
박물관/기념관,최순우 옛집,서울특별시 성북구 성북로15길 9,37.59297685,127.0003499
기타,서서울예술교육센터,서울특별시 양천구 남부순환로64길 2,37.52821978,126.8321453
기타,국립국어원 우리말 꿈터,서울특별시 강서구 금낭화로 154,37.57915505,126.8138354
미술관,학고재,서울특별시 종로구 삼청로 50,37.58046546,126.9803168
기타,남산골한옥마을,서울시 중구 퇴계로 34길 28,37.5591447,126.9936826
공연장,코엑스 오디토리움,서울 강남구 봉은사로 524 코엑스인터콘티넨탈서울,37.5125518,127.0587767
기타,금천구시설관리공단,서울  금천구 시흥동 985-26 ),37.445777,126.902654
박물관/기념관,국립고궁박물관,서울 종로구 효자로 12 국립고궁박물관,37.57659162,126.9749748
공연장,떡? 부엌살림 박물관,서울  종로구 와룡동 164-2 ),37.574973,126.990676
문화원,관악문화원,서울특별시 관악구 신림로3길 35,37.46755336,126.9449624
기타,강남구민체육관,서울  강남구 개포동 1271 ),37.477132,127.0518293
도서관,강동구립해공도서관,서울  강동구 천호동 360 ),37.5439721,127.1255997
도서관,마포중앙도서관,서울특별시 마포구 성산로 128,37.56379544,126.9082019
박물관/기념관,허준박물관,서울특별시 강서구 허준로 87,37.56787245,126.8510312
공연장,서울강서문화원,서울특별시 강서구 화곡로 215,37.5446931,126.843755
도서관,아리향기작은도서관,서울  강서구 염창동 53-1  2층 아리향기작은도서관,37.55373624,126.8709853
공연장,세실아트홀,서울  강남구 신사동 616-7,37.52815277,127.0318444
도서관,도봉기적의도서관,서울시 도봉구 마들로 797,37.6812003,127.0502366
