시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소,Latitude,Longitude,정원(수용인원),현인원
송파구방이복지관,A5039,(장애인) 장애인복지관,장애인지역사회재활시설,자치구,김진숙,1171000000,송파구,서울특별시 송파구 백제고분로37길 4 (석촌동)(석촌동),37.5053807,127.0978518,160,160
서울시각장애인복지관,A5105,(장애인) 장애인복지관,장애인지역사회재활시설,자치구,서혜미,1171000000,송파구,서울특별시 송파구 삼학사로19길 27　,37.506119,127.0940727,0,0
서울시립발달장애인복지관,A5108,(장애인) 장애인복지관,장애인지역사회재활시설,자치구,최선자,1159000000,동작구,서울특별시 동작구 여의대방로20길 33-0395(보라매공원내),37.4932342,126.9197115,752,752
청음복지관,A5237,(장애인) 장애인복지관,장애인지역사회재활시설,자치구,홍희정,1168000000,강남구,서울특별시 강남구 봉은사로50길 6　,37.5094055,127.0423581,,345
마포장애인종합복지관,A5241,(장애인) 장애인복지관,장애인지역사회재활시설,자치구,김은선,1144000000,마포구,서울특별시 마포구 성산로4길 353층(마포장애인종합복지관)(성산동),37.5637064,126.9090681,,3743
다운복지관,A5242,(장애인) 장애인복지관,장애인지역사회재활시설,자치구,김인숙,1135000000,노원구,서울특별시 노원구 화랑로478,37.6189569,127.0802914,,414
원광장애인종합복지관,A6053,(장애인) 장애인복지관,장애인지역사회재활시설,자치구,김선기,1126000000,중랑구,서울특별시 중랑구 신내로 56-0(신내동),37.6041991,127.0960164,500,645
성프란치스꼬장애인종합복지관,A6313,(장애인) 장애인복지관,장애인지역사회재활시설,자치구,김희정,1153000000,구로구,서울특별시 구로구 남부순환로105라길 25-10,37.4815694,126.8905209,452,700
성모자애복지관,A6315,(장애인) 장애인복지관,장애인지역사회재활시설,자치구,김진영,1168000000,강남구,서울특별시 강남구 헌릉로757길 35　,37.4700435,127.1194761,300,300
사랑의집,C0084,(장애인) 장애인주간보호시설,장애인지역사회재활시설,자치구,안승표,1138000000,은평구,서울특별시 은평구 역말로10길 30-1오병이어복지관 1층,37.609228,126.9238158,10,16
