공연시설명,세부공연시설명,좌석수,공연건수,개막편수,상연횟수,총 티켓판매수,시설특성,주소,Latitude,Longitude
올림픽공원,우리금융아트홀(역도경기장),1184,10,9,321,118105,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.5206868,127.1214941
올림픽공원,야외(88잔디마당),10000,8,8,18,79307,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.5206868,127.1214941
올림픽공원,뮤즈라이브,237,5,5,227,30026,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.5206868,127.1214941
예술의전당,오페라극장,2283,20,19,219,332811,국립,서울특별시 서초구 남부순환로 2406 (서초동),37.4810859,127.0152453
예술의전당,CJ 토월극장,1004,15,15,254,137462,국립,서울특별시 서초구 남부순환로 2406 (서초동),37.4810859,127.0152453
예술의전당,자유소극장,241,20,19,273,47815,국립,서울특별시 서초구 남부순환로 2406 (서초동),37.4810859,127.0152453
잠실종합운동장,주경기장,65599,8,8,15,444586,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동),37.5170238,127.0876104
잠실종합운동장,빅탑,2400,1,1,95,167943,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동),37.5170238,127.0876104
잠실종합운동장,실내체육관,11032,13,13,32,141314,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동),37.5170238,127.0876104
잠실종합운동장,FB빅탑시어터,500,1,1,141,48504,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동),37.5170238,127.0876104
잠실종합운동장,보조경기장,1782,1,1,3,5403,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동),37.5170238,127.0876104
세종문화회관,세종예술아카데미(스퀘어홀),94,1,1,8,61,공공(문예회관),서울특별시 종로구 세종대로 175 (세종로),37.5722356,126.9759338
블루스퀘어,신한카드홀(구. 인터파크홀),1766,5,4,374,458621,민간(대학로 외),서울특별시 용산구 이태원로 294 (한남동),37.5407031,127.0026478
블루스퀘어,카오스홀,266,1,1,87,3603,민간(대학로 외),서울특별시 용산구 이태원로 294 (한남동),37.5407031,127.0026478
충무아트센터,대공연장,1255,6,5,349,295803,공공(문예회관),서울특별시 중구 퇴계로 387 (흥인동),37.56731,127.0163823
충무아트센터,중극장 블랙,325,6,5,353,57118,공공(문예회관),서울특별시 중구 퇴계로 387 (흥인동),37.56731,127.0163823
충무아트센터,컨벤션센터,200,11,11,25,2479,공공(문예회관),서울특별시 중구 퇴계로 387 (흥인동),37.56731,127.0163823
충무아트센터,소극장 블루,218,1,1,2,415,공공(문예회관),서울특별시 중구 퇴계로 387 (흥인동),37.56731,127.0163823
샤롯데씨어터,합계,1230,5,4,347,321828,민간(대학로 외),서울특별시 송파구 올림픽로 240 (잠실동),37.5079304,127.0861782
봄날아트홀(구. 아리랑소극장),2관(지하2층),129,4,2,660,295808,민간(대학로),서울특별시 종로구 동숭길 39 (동숭동),37.5799967,127.0042474
봄날아트홀(구. 아리랑소극장),1관(지하1층),123,2,1,393,17464,민간(대학로),서울특별시 종로구 동숭길 39 (동숭동),37.5799967,127.0042474
봄날아트홀(구. 아리랑소극장),합계,252,6,3,1053,313272,민간(대학로),서울특별시 종로구 동숭길 39 (동숭동),37.5799967,127.0042474
대학로 드림아트센터,1관,352,5,4,441,108478,민간(대학로),서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5832627,127.0032788
대학로 드림아트센터,2관 더블케이씨어터,210,7,6,404,58086,민간(대학로),서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5832627,127.0032788
대학로 드림아트센터,3관 나몰라홀,210,7,6,367,47480,민간(대학로),서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5832627,127.0032788
대학로 드림아트센터,4관,208,6,5,337,34703,민간(대학로),서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5832627,127.0032788
LG아트센터 서울,U+ 스테이지,365,16,16,645,37086,민간(대학로 외),서울특별시 강서구 마곡중앙로 136(마곡동),37.5678212,126.8323393
예스24 스테이지(구. DCF대명문화공장),1관,406,9,7,447,104544,민간(대학로),서울특별시 종로구 대학로12길 21 (동숭동),37.5842964,127.0066348
예스24 스테이지(구. DCF대명문화공장),2관,301,6,5,535,79449,민간(대학로),서울특별시 종로구 대학로12길 21 (동숭동),37.5842964,127.0066348
예스24 스테이지(구. DCF대명문화공장),3관(구. 수현재씨어터),255,5,4,385,43858,민간(대학로),서울특별시 종로구 대학로12길 21 (동숭동),37.5842964,127.0066348
예스24 스테이지(구. DCF대명문화공장),합계,962,20,16,1367,227851,민간(대학로),서울특별시 종로구 대학로12길 21 (동숭동),37.5842964,127.0066348
유니플렉스,1관(대극장),600,7,7,382,125808,민간(대학로),서울특별시 종로구 대학로12길 64 (동숭동),37.5812002,127.0037165
유니플렉스,2관(중극장),300,1,0,368,91316,민간(대학로),서울특별시 종로구 대학로12길 64 (동숭동),37.5812002,127.0037165
유니플렉스,3관(소극장),200,3,2,269,10130,민간(대학로),서울특별시 종로구 대학로12길 64 (동숭동),37.5812002,127.0037165
유니플렉스,합계,1100,11,9,1019,227254,민간(대학로),서울특별시 종로구 대학로12길 64 (동숭동),37.5812002,127.0037165
광림아트센터,BBCH홀,1026,6,5,376,200141,민간(대학로 외),서울특별시 강남구 논현로163길 33 (신사동),37.5238869,127.0251531
