id,left,top,right,bottom,유휴공연장,디지털배움터,배리어프리1,배리어프리2,배리어프리3
1108,970035.230199999990873,1944987.158199999947101,971035.230199999990873,1943987.158199999947101,0,0,0,0,0
80,937035.230199999990873,1949987.158199999947101,938035.230199999990873,1948987.158199999947101,0,0,0,0,0
81,937035.230199999990873,1948987.158199999947101,938035.230199999990873,1947987.158199999947101,0,0,0,0,0
1130,971035.230199999990873,1953987.158199999947101,972035.230199999990873,1952987.158199999947101,0,0,0,0,0
1131,971035.230199999990873,1952987.158199999947101,972035.230199999990873,1951987.158199999947101,0,0,0,0,0
1132,971035.230199999990873,1951987.158199999947101,972035.230199999990873,1950987.158199999947101,0,2,0,0,0
1133,971035.230199999990873,1950987.158199999947101,972035.230199999990873,1949987.158199999947101,0,1,0,0,0
1134,971035.230199999990873,1949987.158199999947101,972035.230199999990873,1948987.158199999947101,0,0,0,0,0
104,938035.230199999990873,1956987.158199999947101,939035.230199999990873,1955987.158199999947101,0,0,0,0,0
105,938035.230199999990873,1955987.158199999947101,939035.230199999990873,1954987.158199999947101,0,0,0,0,0
106,938035.230199999990873,1954987.158199999947101,939035.230199999990873,1953987.158199999947101,0,0,0,0,0
107,938035.230199999990873,1953987.158199999947101,939035.230199999990873,1952987.158199999947101,0,0,0,0,0
108,938035.230199999990873,1952987.158199999947101,939035.230199999990873,1951987.158199999947101,0,0,0,0,0
109,938035.230199999990873,1951987.158199999947101,939035.230199999990873,1950987.158199999947101,0,0,0,0,0
110,938035.230199999990873,1950987.158199999947101,939035.230199999990873,1949987.158199999947101,0,0,0,0,0
111,938035.230199999990873,1949987.158199999947101,939035.230199999990873,1948987.158199999947101,0,0,0,0,0
112,938035.230199999990873,1948987.158199999947101,939035.230199999990873,1947987.158199999947101,0,0,0,0,0
1038,968035.230199999990873,1952987.158199999947101,969035.230199999990873,1951987.158199999947101,0,0,0,0,0
1039,968035.230199999990873,1951987.158199999947101,969035.230199999990873,1950987.158199999947101,0,0,0,0,0
15,935035.230199999990873,1952987.158199999947101,936035.230199999990873,1951987.158199999947101,0,0,0,0,0
1048,968035.230199999990873,1942987.158199999947101,969035.230199999990873,1941987.158199999947101,1,0,0,0,0
1049,968035.230199999990873,1941987.158199999947101,969035.230199999990873,1940987.158199999947101,0,0,0,0,0
1040,968035.230199999990873,1950987.158199999947101,969035.230199999990873,1949987.158199999947101,0,0,0,0,0
1041,968035.230199999990873,1949987.158199999947101,969035.230199999990873,1948987.158199999947101,1,0,0,0,0
1042,968035.230199999990873,1948987.158199999947101,969035.230199999990873,1947987.158199999947101,0,0,0,0,0
1043,968035.230199999990873,1947987.158199999947101,969035.230199999990873,1946987.158199999947101,0,0,0,0,0
1044,968035.230199999990873,1946987.158199999947101,969035.230199999990873,1945987.158199999947101,0,0,0,0,0
1045,968035.230199999990873,1945987.158199999947101,969035.230199999990873,1944987.158199999947101,0,0,0,0,0
1046,968035.230199999990873,1944987.158199999947101,969035.230199999990873,1943987.158199999947101,0,3,0,0,0
1047,968035.230199999990873,1943987.158199999947101,969035.230199999990873,1942987.158199999947101,0,0,0,0,1
16,935035.230199999990873,1951987.158199999947101,936035.230199999990873,1950987.158199999947101,0,0,0,0,0
17,935035.230199999990873,1950987.158199999947101,936035.230199999990873,1949987.158199999947101,0,0,0,0,0
