시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,"서울특별시 양천구 오목로 148-343 01호 (신정동, 오성이지빌)",Latitude,Longitude,정원(수용인원),현인원
대린원,C0001,(장애인) 장애유형별거주시설,장애인거주시설,자치구,임은희,1135000000,노원구,서울특별시 노원구 동일로248길 30(상계1동),37.6805716,127.056858,54,31
동천의집,C0003,(장애인) 장애유형별거주시설,장애인거주시설,자치구,김영문,1135000000,노원구,서울특별시 노원구 노원로 18길 41 (하계동 288-1)(하계1동),37.6444026,127.0733277,70,64
누림홈,C0005,(장애인) 장애유형별거주시설,장애인거주시설,자치구,송용성,1147000000,양천구,경기도 김포시 대곶면 율생중앙로 83 ,37.6549486,126.5804361,70,58
삼성농아원,C0012,(장애인) 장애유형별거주시설,장애인거주시설,자치구,엄종숙,1159000000,동작구,서울특별시 동작구 양녕로30길 19-4(동작구),37.4991197,126.9459305,62,28
다니엘복지원,C0014,(장애인) 장애유형별거주시설,장애인거주시설,자치구,지승현,1165000000,서초구,서울특별시 서초구 헌릉로468길 21-16  ,37.4604236,127.0920332,80,70
늘편한집,C0029,(장애인) 중증장애인거주시설,장애인거주시설,자치구,안성균,1135000000,노원구,서울특별시 노원구 중계로 163(중계본동),37.6498375,127.0806551,45,39
임마누엘집,C0030,(장애인) 장애유형별거주시설,장애인거주시설,자치구,김경식,1171000000,송파구,서울특별시 송파구 양산로10길 26,37.491467,127.1466799,55,51
아름해든집,C0054,(장애인) 중증장애인거주시설,장애인거주시설,자치구,강순옥,1174000000,강동구,"서울특별시 강동구 고덕로 295-45(고덕동,나동)",37.5576717,127.158743,39,35
신아재활원,C0057,(장애인) 장애유형별거주시설,장애인거주시설,자치구,황성수,1171000000,송파구,서울특별시 송파구 양산로8길 17,37.4915007,127.1456026,134,125
우성원,C0073,(장애인) 장애유형별거주시설,장애인거주시설,자치구,임경순,1174000000,강동구,서울특별시 강동구 고덕로 295-45(고덕2동),37.5576717,127.158743,86,74
해맑은마음터,C0075,(장애인) 중증장애인거주시설,장애인거주시설,자치구,최문준,1147000000,양천구,경기도 김포시 대곶면 율생중앙로 89 ,37.6553176,126.5803115,77,69
영락애니아의집,C0083,(장애인) 중증장애인거주시설,장애인거주시설,자치구,조지영,1117000000,용산구,서울특별시 용산구 후암로4길 70(후암동),37.5484973,126.9812806,30,30
암사재활원,C0086,(장애인) 중증장애인거주시설,장애인거주시설,자치구,박성진,1174000000,강동구,서울특별시 강동구 올림픽로 864(암사3동),37.5581328,127.1312229,50,48
